%time,field.x,field.y,field.z
1566599308510998695,26.3515625,25.921875,24.8828125
1566599309328914004,26.375,25.984375,24.890625
1566599310146838868,26.3125,25.9921875,24.859375
1566599310964945377,26.3671875,26.046875,24.8515625
1566599311783130651,26.375,25.9921875,24.8828125
1566599312600835304,26.4140625,25.9921875,24.8828125
1566599313419123082,26.375,26.015625,24.890625
1566599314236899389,26.34375,26.03125,24.8125
1566599315055693669,26.3359375,25.921875,24.859375
1566599315873233234,26.3359375,26.0546875,24.875
1566599316691623864,26.34375,26.0546875,24.796875
1566599317509179671,26.4140625,26.046875,24.875
1566599318328936378,26.453125,25.9921875,27.3671875
1566599319145130487,26.484375,26.234375,27.3671875
1566599319962953288,26.4375,26.25,27.3671875
1566599320780937438,26.484375,26.3125,27.3671875
1566599321599118086,26.4765625,26.453125,27.3671875
1566599322416919562,26.5625,26.8984375,27.3671875
1566599323234934089,26.5390625,27.578125,27.3671875
1566599324053620574,26.765625,28.3828125,34.921875
1566599324870942290,26.9140625,28.9921875,35.6875
1566599325689187119,27.03125,29.234375,37.6328125
1566599326507143486,27.0390625,29.28125,40.3515625
1566599327325779092,27.1015625,29.4140625,43.4375
1566599328143194838,27.171875,29.9609375,45.1484375
1566599328961235164,27.28125,31.125,45.6015625
1566599329779188633,27.5,32.5390625,45.78125
1566599330597213371,27.625,33.6640625,45.78125
1566599331414996020,27.7421875,33.984375,45.78125
1566599332233223536,27.78125,34.046875,45.78125
1566599333051306783,27.75,34.3828125,55.9296875
1566599333869460307,27.78125,34.421875,55.90625
1566599334687107090,27.828125,34.3203125,55.84375
1566599335505287164,27.8359375,34.3359375,55.890625
1566599336323765998,27.7890625,34.265625,55.8125
1566599337140128319,27.8125,34.2421875,55.7734375
1566599337958270191,27.8046875,34.1796875,55.609375
1566599338776397062,27.8359375,34.2421875,55.625
