%time,field0,field1,field2,field3,field4,field5
1566600411351182835,-3.5e-05,1.324004,0.0,0.0,0.0,0.0
1566600411354850837,-4.1e-05,1.324004,0.0,0.0,0.0,0.0
1566600411358798049,-3.8e-05,1.324001,0.0,0.0,0.0,0.0
1566600411363551374,-3.3e-05,1.324006,0.0,0.0,0.0,0.0
1566600411369004715,-3.9e-05,1.324002,0.0,0.0,0.0,0.0
1566600411371316284,-3.6e-05,1.324003,0.0,0.0,0.0,0.0
1566600411375362374,-3.5e-05,1.324004,0.0,0.0,0.0,0.0
1566600411378937536,-3.4e-05,1.324005,0.0,0.0,0.0,0.0
1566600411382940942,-3.7e-05,1.324004,0.0,0.0,0.0,0.0
1566600411386848645,-3.8e-05,1.324007,0.0,0.0,0.0,0.0
1566600411393314670,-3.5e-05,1.324004,0.0,0.0,0.0,0.0
1566600411395330684,-3.7e-05,1.324003,0.0,0.0,0.0,0.0
1566600411398802281,-3.6e-05,1.324006,0.0,0.0,0.0,0.0
1566600411402875710,-3.6e-05,1.324004,0.0,0.0,0.0,0.0
1566600411406999733,-3.5e-05,1.324004,0.0,0.0,0.0,0.0
1566600411410807371,-3.8e-05,1.324005,0.0,0.0,0.0,0.0
1566600411415341995,-3.8e-05,1.324004,0.0,0.0,0.0,0.0
1566600411418925184,-3.4e-05,1.324006,0.0,0.0,0.0,0.0
1566600411422853317,-3.7e-05,1.324006,0.0,0.0,0.0,0.0
1566600411427069161,-3.6e-05,1.324005,0.0,0.0,0.0,0.0
1566600411431265107,-3.6e-05,1.324005,0.0,0.0,0.0,0.0
1566600411434886031,-3.7e-05,1.324005,0.0,0.0,0.0,0.0
1566600411438746458,-3.3e-05,1.324004,0.0,0.0,0.0,0.0
1566600411442806611,-3.5e-05,1.324004,0.0,0.0,0.0,0.0
1566600411446782934,-3.1e-05,1.324008,0.0,0.0,0.0,0.0
1566600411450842512,-3.7e-05,1.324004,0.0,0.0,0.0,0.0
1566600411454760223,-3.7e-05,1.324009,0.0,0.0,0.0,0.0
1566600411459347153,-3.7e-05,1.324005,0.0,0.0,0.0,0.0
1566600411463048231,-3.5e-05,1.324004,0.0,0.0,0.0,0.0
1566600411466965048,-3.4e-05,1.324003,0.0,0.0,0.0,0.0
1566600411471248851,-3.4e-05,1.324004,0.0,0.0,0.0,0.0
1566600411475174073,-3.7e-05,1.324005,0.0,0.0,0.0,0.0
1566600411479437798,-3.7e-05,1.324005,0.0,0.0,0.0,0.0
1566600411484342907,-3.5e-05,1.324005,0.0,0.0,0.0,0.0
1566600411486906222,-3.8e-05,1.324003,0.0,0.0,0.0,0.0
1566600411491169733,-3.6e-05,1.324003,0.0,0.0,0.0,0.0
1566600411495161294,-3.7e-05,1.324005,0.0,0.0,0.0,0.0
1566600411499107438,-3.5e-05,1.324003,0.0,0.0,0.0,0.0
1566600411502986845,-3.3e-05,1.324002,0.0,0.0,0.0,0.0
1566600411506834603,-3.7e-05,1.324005,0.0,0.0,0.0,0.0
1566600411510956219,-3.8e-05,1.324004,0.0,0.0,0.0,0.0
1566600411514973601,-3.8e-05,1.324006,0.0,0.0,0.0,0.0
1566600411518993619,-3.9e-05,1.324004,0.0,0.0,0.0,0.0
1566600411523222950,-3.7e-05,1.324005,0.0,0.0,0.0,0.0
1566600411527006360,-3.4e-05,1.324005,0.0,0.0,0.0,0.0
1566600411531032921,-3.6e-05,1.324004,0.0,0.0,0.0,0.0
1566600411534993996,-3.9e-05,1.324005,0.0,0.0,0.0,0.0
1566600411538949220,-3.5e-05,1.324005,0.0,0.0,0.0,0.0
1566600411542918466,-3.6e-05,1.324007,0.0,0.0,0.0,0.0
1566600411546857131,-3.5e-05,1.324007,0.0,0.0,0.0,0.0
1566600411552019790,-3.3e-05,1.324005,0.0,0.0,0.0,0.0
1566600411555001740,-3.6e-05,1.324005,0.0,0.0,0.0,0.0
1566600411559101772,-3.9e-05,1.324001,0.0,0.0,0.0,0.0
1566600411563029732,-3.6e-05,1.324003,0.0,0.0,0.0,0.0
1566600411566756343,-3.5e-05,1.324003,0.0,0.0,0.0,0.0
1566600411570906733,-3.7e-05,1.324003,0.0,0.0,0.0,0.0
1566600411576982492,-3.6e-05,1.324007,0.0,0.0,0.0,0.0
1566600411579231242,-3.6e-05,1.324006,0.0,0.0,0.0,0.0
1566600411583388720,-3.5e-05,1.324004,0.0,0.0,0.0,0.0
1566600411587052069,-3.3e-05,1.324005,0.0,0.0,0.0,0.0
1566600411591066115,-3.6e-05,1.324005,0.0,0.0,0.0,0.0
1566600411595064095,-4e-05,1.324003,0.0,0.0,0.0,0.0
1566600411598797884,-3.6e-05,1.324004,0.0,0.0,0.0,0.0
