%time,field0,field1,field2,field3,field4,field5
1566599308037466447,-1.9e-05,1.192786,0.0,0.0,0.0,0.0
1566599308041552115,-1.8e-05,1.192783,0.0,0.0,0.0,0.0
1566599308045413254,-1.9e-05,1.192785,0.0,0.0,0.0,0.0
1566599308049331249,-1.6e-05,1.192783,0.0,0.0,0.0,0.0
1566599308053409656,-1.4e-05,1.192783,0.0,0.0,0.0,0.0
1566599308057679943,-1.6e-05,1.192781,0.0,0.0,0.0,0.0
1566599308061407665,-1.7e-05,1.192781,0.0,0.0,0.0,0.0
1566599308065538058,-1.8e-05,1.192782,0.0,0.0,0.0,0.0
1566599308069640336,-1.9e-05,1.192785,0.0,0.0,0.0,0.0
1566599308073468215,-1.5e-05,1.192783,0.0,0.0,0.0,0.0
1566599308077546410,-1.4e-05,1.192782,0.0,0.0,0.0,0.0
1566599308082472825,-1.6e-05,1.192783,0.0,0.0,0.0,0.0
1566599308085619803,-1.6e-05,1.192784,0.0,0.0,0.0,0.0
1566599308089685064,-1.5e-05,1.192784,0.0,0.0,0.0,0.0
1566599308097243494,-2.1e-05,1.192783,0.0,0.0,0.0,0.0
1566599308099740005,-1.9e-05,1.192785,0.0,0.0,0.0,0.0
1566599308102319258,-1.7e-05,1.192784,0.0,0.0,0.0,0.0
1566599308105696799,-1.6e-05,1.192788,0.0,0.0,0.0,0.0
1566599308111481195,-2e-05,1.192781,0.0,0.0,0.0,0.0
1566599308113855407,-1.9e-05,1.192781,0.0,0.0,0.0,0.0
1566599308117539107,-1.3e-05,1.19278,0.0,0.0,0.0,0.0
1566599308121732015,-1.6e-05,1.192782,0.0,0.0,0.0,0.0
1566599308125516787,-1.7e-05,1.19278,0.0,0.0,0.0,0.0
1566599308129506330,-1.3e-05,1.192782,0.0,0.0,0.0,0.0
1566599308133459262,-1.5e-05,1.192784,0.0,0.0,0.0,0.0
1566599308137381703,-1.8e-05,1.192784,0.0,0.0,0.0,0.0
1566599308141390529,-2e-05,1.192786,0.0,0.0,0.0,0.0
1566599308145481786,-1.7e-05,1.192782,0.0,0.0,0.0,0.0
1566599308149389070,-1.9e-05,1.192785,0.0,0.0,0.0,0.0
1566599308153397176,-1.8e-05,1.192787,0.0,0.0,0.0,0.0
1566599308157399553,-1.9e-05,1.192783,0.0,0.0,0.0,0.0
1566599308161343608,-2e-05,1.192782,0.0,0.0,0.0,0.0
1566599308165906087,-1.9e-05,1.192783,0.0,0.0,0.0,0.0
1566599308169791580,-1.8e-05,1.192783,0.0,0.0,0.0,0.0
1566599308173461809,-1.6e-05,1.192783,0.0,0.0,0.0,0.0
1566599308177608019,-2e-05,1.192785,0.0,0.0,0.0,0.0
1566599308181601433,-2e-05,1.192784,0.0,0.0,0.0,0.0
1566599308185829415,-1.6e-05,1.192783,0.0,0.0,0.0,0.0
1566599308189534971,-1.7e-05,1.19278,0.0,0.0,0.0,0.0
1566599308193493115,-1.4e-05,1.19278,0.0,0.0,0.0,0.0
1566599308197383892,-1.5e-05,1.192781,0.0,0.0,0.0,0.0
1566599308201519377,-1.6e-05,1.192782,0.0,0.0,0.0,0.0
1566599308205510030,-1.8e-05,1.192781,0.0,0.0,0.0,0.0
1566599308209485102,-1.6e-05,1.19278,0.0,0.0,0.0,0.0
1566599308213409245,-2e-05,1.192778,0.0,0.0,0.0,0.0
1566599308217574750,-1.8e-05,1.19278,0.0,0.0,0.0,0.0
1566599308221443169,-1.8e-05,1.192785,0.0,0.0,0.0,0.0
1566599308225461584,-1.7e-05,1.192782,0.0,0.0,0.0,0.0
1566599308229312064,-1.8e-05,1.19278,0.0,0.0,0.0,0.0
1566599308233491569,-1.8e-05,1.19278,0.0,0.0,0.0,0.0
1566599308237552845,-2.1e-05,1.19278,0.0,0.0,0.0,0.0
1566599308242453472,-1.8e-05,1.192781,0.0,0.0,0.0,0.0
1566599308245577317,-1.6e-05,1.192782,0.0,0.0,0.0,0.0
1566599308253052939,-1.9e-05,1.192786,0.0,0.0,0.0,0.0
1566599308255492121,-2e-05,1.19278,0.0,0.0,0.0,0.0
1566599308257720002,-2e-05,1.192781,0.0,0.0,0.0,0.0
1566599308261556265,-2.1e-05,1.192784,0.0,0.0,0.0,0.0
1566599308265509827,-2e-05,1.192782,0.0,0.0,0.0,0.0
1566599308270213486,-1.9e-05,1.192784,0.0,0.0,0.0,0.0
1566599308275700919,-1.8e-05,1.192782,0.0,0.0,0.0,0.0
1566599308277871057,-1.7e-05,1.192784,0.0,0.0,0.0,0.0
1566599308281662911,-2e-05,1.192783,0.0,0.0,0.0,0.0
1566599308285391516,-2e-05,1.19278,0.0,0.0,0.0,0.0
1566599308289528803,-2e-05,1.192781,0.0,0.0,0.0,0.0
1566599308293348018,-2.2e-05,1.192782,0.0,0.0,0.0,0.0
1566599308297480765,-1.9e-05,1.192782,0.0,0.0,0.0,0.0
1566599308302099297,-2.1e-05,1.192783,0.0,0.0,0.0,0.0
1566599308305479463,-1.8e-05,1.192783,0.0,0.0,0.0,0.0
1566599308309600220,-1.9e-05,1.192784,0.0,0.0,0.0,0.0
1566599308313704599,-1.9e-05,1.192785,0.0,0.0,0.0,0.0
1566599308317772352,-1.8e-05,1.192783,0.0,0.0,0.0,0.0
1566599308323373945,-1.9e-05,1.192781,0.0,0.0,0.0,0.0
1566599308325528552,-2e-05,1.192779,0.0,0.0,0.0,0.0
1566599308329840623,-2.1e-05,1.19278,0.0,0.0,0.0,0.0
1566599308333407499,-1.8e-05,1.192783,0.0,0.0,0.0,0.0
1566599308338716884,-1.6e-05,1.192782,0.0,0.0,0.0,0.0
1566599308341528270,-1.9e-05,1.192784,0.0,0.0,0.0,0.0
1566599308345624714,-1.7e-05,1.192783,0.0,0.0,0.0,0.0
1566599308349436355,-1.6e-05,1.192782,0.0,0.0,0.0,0.0
1566599308353512732,-1.9e-05,1.192783,0.0,0.0,0.0,0.0
1566599308357471134,-2.2e-05,1.192781,0.0,0.0,0.0,0.0
1566599308361495386,-1.8e-05,1.192783,0.0,0.0,0.0,0.0
1566599308365297152,-2e-05,1.192782,0.0,0.0,0.0,0.0
1566599308369357891,-2e-05,1.192783,0.0,0.0,0.0,0.0
1566599308373482158,-2e-05,1.192785,0.0,0.0,0.0,0.0
1566599308377342613,-1.9e-05,1.192781,0.0,0.0,0.0,0.0
1566599308381573921,-2e-05,1.192786,0.0,0.0,0.0,0.0
1566599308385344100,-2.1e-05,1.192784,0.0,0.0,0.0,0.0
1566599308389461455,-2.2e-05,1.192783,0.0,0.0,0.0,0.0
1566599308393467999,-2e-05,1.192779,0.0,0.0,0.0,0.0
1566599308397523952,-1.6e-05,1.192782,0.0,0.0,0.0,0.0
1566599308401449370,-1.5e-05,1.192783,0.0,0.0,0.0,0.0
1566599308405606055,-1.7e-05,1.192782,0.0,0.0,0.0,0.0
1566599308409814556,-1.8e-05,1.192783,0.0,0.0,0.0,0.0
1566599308413402184,-2e-05,1.192782,0.0,0.0,0.0,0.0
1566599308417349728,-1.8e-05,1.192786,0.0,0.0,0.0,0.0
1566599308421449501,-1.8e-05,1.192784,0.0,0.0,0.0,0.0
1566599308427421271,-1.9e-05,1.192783,0.0,0.0,0.0,0.0
1566599308429692473,-1.8e-05,1.192782,0.0,0.0,0.0,0.0
1566599308433383143,-1.9e-05,1.192783,0.0,0.0,0.0,0.0
1566599308437545634,-1.7e-05,1.192783,0.0,0.0,0.0,0.0
1566599308441481138,-1.8e-05,1.192784,0.0,0.0,0.0,0.0
