%time,field.x,field.y,field.z
1566497030660268679,25.7890625,25.296875,24.796875
1566497031478315828,25.6875,25.40625,24.7265625
1566497032296496143,25.8125,25.3203125,24.7734375
1566497033114533318,25.75,25.3828125,24.7265625
1566497033932469956,25.796875,25.3515625,24.875
1566497034750357360,25.796875,25.3203125,24.765625
1566497035568522999,25.765625,25.3515625,24.75
1566497036386515040,25.796875,25.3515625,24.7421875
1566497037204589773,25.7421875,25.390625,24.7734375
1566497038022561463,25.7734375,25.40625,24.7421875
1566497038840630977,25.7421875,25.3515625,24.765625
1566497039658746361,25.75,25.34375,24.765625
1566497040476576861,25.7734375,25.40625,25.390625
1566497041294593914,25.828125,25.9921875,25.390625
1566497042112743029,25.75,26.4609375,25.390625
1566497042930694579,25.796875,26.6796875,25.390625
1566497043748548986,25.875,26.671875,25.390625
1566497044566411576,25.8515625,26.6796875,25.390625
1566497045384952381,25.9375,27.1171875,25.390625
1566497046203304944,25.765625,27.71875,25.390625
1566497047020440672,25.7734375,28.625,36.453125
1566497047838727925,25.8359375,29.40625,37.1015625
1566497048656987492,25.859375,29.9140625,38.828125
1566497049474728015,25.8828125,29.9921875,41.7734375
1566497050292718811,25.9375,30.0078125,45.0390625
1566497051110811141,25.9921875,30.5234375,47.25
1566497051928560774,25.9921875,31.7578125,47.84375
1566497052746692126,25.9921875,33.421875,47.84375
1566497053563471949,25.9609375,34.6328125,47.84375
1566497054381466695,25.90625,34.8828125,50.5703125
1566497055199740587,25.8984375,34.859375,50.546875
1566497056017676062,25.96875,34.875,50.34375
1566497056835677874,25.9609375,34.7421875,50.3984375
1566497057654146236,25.90625,34.7421875,50.421875
1566497058471864655,25.9375,34.765625,50.34375
1566497059289774468,25.9609375,34.7578125,50.3125
1566497060107727139,25.9453125,34.7265625,50.3125
1566497060925740622,25.984375,34.7578125,50.265625
1566497061743606567,25.921875,34.6328125,50.15625
1566497062564755558,25.9609375,34.6328125,50.1953125
1566497063379706719,25.96875,34.5625,50.1484375
1566497064197571987,25.9921875,34.609375,50.0703125
1566497065015812555,25.9453125,34.578125,49.9921875
1566497065833772395,25.9609375,34.5546875,50.0625
1566497066651644462,25.9375,34.5546875,49.9921875
1566497067469638978,26.015625,34.5390625,49.9453125
1566497068287685138,25.9453125,34.421875,49.9765625
1566497069105640324,25.96875,34.4453125,49.84375
1566497069923877771,25.9375,34.375,49.8125
1566497070741814937,25.9921875,34.375,49.765625
1566497071559729712,25.96875,34.4296875,49.8125
1566497072377675122,25.96875,34.40625,49.7890625
1566497073195639079,25.9453125,34.3125,49.6953125
