%time,field0,field1,field2,field3,field4,field5
1565978342355621901,9e-06,-0.000134,0.0,0.0,0.0,0.0
1565978342359796679,1e-05,-0.00013,0.0,0.0,0.0,0.0
1565978342363650670,8e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342371192465,8e-06,-0.000133,0.0,0.0,0.0,0.0
1565978342373622981,2e-06,-0.000135,0.0,0.0,0.0,0.0
1565978342375744604,6e-06,-0.000133,0.0,0.0,0.0,0.0
1565978342381018139,4e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342383538344,4e-06,-0.000129,0.0,0.0,0.0,0.0
1565978342387605174,4e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342391691709,9e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342395576530,5e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342400405862,6e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342403516871,7e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342407588796,4e-06,-0.000133,0.0,0.0,0.0,0.0
1565978342411701406,6e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342415749359,8e-06,-0.000128,0.0,0.0,0.0,0.0
1565978342419748363,9e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342423820925,6e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342427705091,6e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342431672445,5e-06,-0.000133,0.0,0.0,0.0,0.0
1565978342435579908,6e-06,-0.000133,0.0,0.0,0.0,0.0
1565978342439672115,8e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342444292379,5e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342447798198,6e-06,-0.000129,0.0,0.0,0.0,0.0
1565978342451749532,7e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342455587189,8e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342459862942,6e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342464067298,6e-06,-0.000135,0.0,0.0,0.0,0.0
1565978342467628708,5e-06,-0.000134,0.0,0.0,0.0,0.0
1565978342471757434,6e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342475771665,1.1e-05,-0.000137,0.0,0.0,0.0,0.0
1565978342480236175,9e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342483683418,4e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342487898196,6e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342491861249,4e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342496684519,3e-06,-0.000135,0.0,0.0,0.0,0.0
1565978342499770076,8e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342503731322,7e-06,-0.000133,0.0,0.0,0.0,0.0
1565978342507648838,7e-06,-0.000133,0.0,0.0,0.0,0.0
1565978342511888320,6e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342515792693,5e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342523320146,7e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342525326703,8e-06,-0.000133,0.0,0.0,0.0,0.0
1565978342527561695,8e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342531564771,5e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342535554571,4e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342539760342,6e-06,-0.000133,0.0,0.0,0.0,0.0
1565978342543822113,8e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342547661211,6e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342551497270,4e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342555574808,6e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342559746513,5e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342563724285,8e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342567337010,6e-06,-0.000133,0.0,0.0,0.0,0.0
1565978342571783154,8e-06,-0.000134,0.0,0.0,0.0,0.0
1565978342575712201,7e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342579932167,6e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342585112556,7e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342587602382,6e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342591817865,8e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342597089454,8e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342600605171,8e-06,-0.000133,0.0,0.0,0.0,0.0
1565978342603941485,9e-06,-0.000134,0.0,0.0,0.0,0.0
1565978342607785755,7e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342611792462,1.2e-05,-0.000132,0.0,0.0,0.0,0.0
1565978342615749339,8e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342619604426,5e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342623882636,9e-06,-0.000133,0.0,0.0,0.0,0.0
1565978342627708093,6e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342631760486,7e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342635518589,9e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342639584729,8e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342643795585,7e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342648149528,9e-06,-0.000133,0.0,0.0,0.0,0.0
1565978342651581771,4e-06,-0.000129,0.0,0.0,0.0,0.0
1565978342655642914,5e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342661068683,6e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342663810721,9e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342667695598,5e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342671790664,7e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342676215653,8e-06,-0.000129,0.0,0.0,0.0,0.0
1565978342680771962,5e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342683936516,4e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342687662166,5e-06,-0.000129,0.0,0.0,0.0,0.0
1565978342691645110,8e-06,-0.000129,0.0,0.0,0.0,0.0
1565978342698216925,7e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342700646706,6e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342704184694,2e-06,-0.000133,0.0,0.0,0.0,0.0
1565978342707695503,8e-06,-0.000134,0.0,0.0,0.0,0.0
1565978342711603447,5e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342715699246,8e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342719727206,7e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342723806184,6e-06,-0.000133,0.0,0.0,0.0,0.0
1565978342727857042,7e-06,-0.000133,0.0,0.0,0.0,0.0
1565978342731657918,8e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342735929937,5e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342739910057,6e-06,-0.000135,0.0,0.0,0.0,0.0
1565978342743531936,7e-06,-0.000129,0.0,0.0,0.0,0.0
1565978342747662212,7e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342755573898,8e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342757854272,7e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342760155612,8e-06,-0.000127,0.0,0.0,0.0,0.0
1565978342763930761,1.1e-05,-0.000129,0.0,0.0,0.0,0.0
1565978342767556070,6e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342771660382,3e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342775683344,7e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342779632100,8e-06,-0.000128,0.0,0.0,0.0,0.0
1565978342783717392,1.1e-05,-0.000132,0.0,0.0,0.0,0.0
1565978342787606989,9e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342791555679,8e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342795751084,8e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342799715814,8e-06,-0.000133,0.0,0.0,0.0,0.0
1565978342803579516,5e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342807563918,4e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342811603349,7e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342815700801,7e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342819768561,7e-06,-0.000134,0.0,0.0,0.0,0.0
1565978342827308041,1e-05,-0.000128,0.0,0.0,0.0,0.0
1565978342827668175,6e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342831589069,7e-06,-0.000129,0.0,0.0,0.0,0.0
1565978342835533312,1e-05,-0.000132,0.0,0.0,0.0,0.0
1565978342839712995,8e-06,-0.000134,0.0,0.0,0.0,0.0
1565978342843890047,4e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342847808317,4e-06,-0.000134,0.0,0.0,0.0,0.0
1565978342851645138,3e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342857062914,5e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342859709996,9e-06,-0.000133,0.0,0.0,0.0,0.0
1565978342863430006,1e-05,-0.00013,0.0,0.0,0.0,0.0
1565978342867314618,7e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342871534766,1.2e-05,-0.000131,0.0,0.0,0.0,0.0
1565978342875945247,1e-05,-0.00013,0.0,0.0,0.0,0.0
1565978342880127800,7e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342883756803,4e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342887736539,7e-06,-0.000134,0.0,0.0,0.0,0.0
1565978342891680634,3e-06,-0.000129,0.0,0.0,0.0,0.0
1565978342895956331,6e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342905905049,6e-06,-0.000128,0.0,0.0,0.0,0.0
1565978342905918907,9e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342911131278,3e-06,-0.000127,0.0,0.0,0.0,0.0
1565978342913435271,6e-06,-0.000129,0.0,0.0,0.0,0.0
1565978342915652154,7e-06,-0.000129,0.0,0.0,0.0,0.0
1565978342919775462,6e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342923713484,8e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342929681209,5e-06,-0.000134,0.0,0.0,0.0,0.0
1565978342931610616,3e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342935827411,4e-06,-0.000133,0.0,0.0,0.0,0.0
1565978342939718348,1e-05,-0.000132,0.0,0.0,0.0,0.0
1565978342943452941,8e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342947790277,6e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342951718938,6e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342955571805,7e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342959539945,5e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342963693548,6e-06,-0.000131,0.0,0.0,0.0,0.0
1565978342967872498,7e-06,-0.000132,0.0,0.0,0.0,0.0
1565978342971877975,3e-06,-0.000134,0.0,0.0,0.0,0.0
1565978342975631076,5e-06,-0.000129,0.0,0.0,0.0,0.0
1565978342979764035,1e-05,-0.000129,0.0,0.0,0.0,0.0
1565978342983772849,7e-06,-0.000129,0.0,0.0,0.0,0.0
1565978342987741353,5e-06,-0.00013,0.0,0.0,0.0,0.0
1565978342991562315,4e-06,-0.000133,0.0,0.0,0.0,0.0
1565978342995697647,8e-06,-0.000132,0.0,0.0,0.0,0.0
1565978343000739108,1e-05,-0.000132,0.0,0.0,0.0,0.0
1565978343003633701,6e-06,-0.000136,0.0,0.0,0.0,0.0
1565978343007574345,6e-06,-0.000137,0.0,0.0,0.0,0.0
1565978343011564794,6e-06,-0.00013,0.0,0.0,0.0,0.0
1565978343015658462,1e-05,-0.000131,0.0,0.0,0.0,0.0
1565978343019828144,6e-06,-0.000128,0.0,0.0,0.0,0.0
1565978343023708476,2e-06,-0.000128,0.0,0.0,0.0,0.0
1565978343027798997,5e-06,-0.000135,0.0,0.0,0.0,0.0
1565978343031530251,6e-06,-0.00013,0.0,0.0,0.0,0.0
1565978343035793857,8e-06,-0.000135,0.0,0.0,0.0,0.0
1565978343039672595,1e-05,-0.00013,0.0,0.0,0.0,0.0
1565978343046860325,8e-06,-0.000133,0.0,0.0,0.0,0.0
1565978343048790671,9e-06,-0.00013,0.0,0.0,0.0,0.0
1565978343051462310,7e-06,-0.00013,0.0,0.0,0.0,0.0
1565978343055727249,6e-06,-0.000128,0.0,0.0,0.0,0.0
1565978343059497632,4e-06,-0.000133,0.0,0.0,0.0,0.0
1565978343063497372,8e-06,-0.00013,0.0,0.0,0.0,0.0
1565978343067601880,9e-06,-0.000132,0.0,0.0,0.0,0.0
1565978343071499394,1e-05,-0.000132,0.0,0.0,0.0,0.0
1565978343075659805,7e-06,-0.00013,0.0,0.0,0.0,0.0
1565978343079573858,4e-06,-0.000131,0.0,0.0,0.0,0.0
1565978343083733683,4e-06,-0.000131,0.0,0.0,0.0,0.0
1565978343087520572,4e-06,-0.000132,0.0,0.0,0.0,0.0
1565978343091724175,4e-06,-0.000132,0.0,0.0,0.0,0.0
1565978343095669619,6e-06,-0.000134,0.0,0.0,0.0,0.0
1565978343099807287,7e-06,-0.00013,0.0,0.0,0.0,0.0
1565978343103663969,6e-06,-0.000131,0.0,0.0,0.0,0.0
1565978343107829939,7e-06,-0.000129,0.0,0.0,0.0,0.0
1565978343111602283,9e-06,-0.000132,0.0,0.0,0.0,0.0
1565978343116003161,1e-05,-0.000133,0.0,0.0,0.0,0.0
1565978343119759583,6e-06,-0.000134,0.0,0.0,0.0,0.0
1565978343123542247,7e-06,-0.000129,0.0,0.0,0.0,0.0
1565978343127693626,7e-06,-0.000132,0.0,0.0,0.0,0.0
1565978343131725093,6e-06,-0.000131,0.0,0.0,0.0,0.0
1565978343135462913,6e-06,-0.000134,0.0,0.0,0.0,0.0
1565978343139509125,8e-06,-0.000131,0.0,0.0,0.0,0.0
1565978343143644725,9e-06,-0.00013,0.0,0.0,0.0,0.0
1565978343148375083,9e-06,-0.000132,0.0,0.0,0.0,0.0
1565978343151717330,1e-05,-0.000127,0.0,0.0,0.0,0.0
1565978343155632100,7e-06,-0.000129,0.0,0.0,0.0,0.0
1565978343159848267,5e-06,-0.000134,0.0,0.0,0.0,0.0
1565978343163671390,7e-06,-0.000132,0.0,0.0,0.0,0.0
1565978343167831825,7e-06,-0.000131,0.0,0.0,0.0,0.0
1565978343171646321,5e-06,-0.000132,0.0,0.0,0.0,0.0
1565978343175691065,6e-06,-0.000137,0.0,0.0,0.0,0.0
1565978343180164056,6e-06,-0.000132,0.0,0.0,0.0,0.0
1565978343183673317,4e-06,-0.000132,0.0,0.0,0.0,0.0
1565978343187586345,4e-06,-0.000134,0.0,0.0,0.0,0.0
1565978343191680125,9e-06,-0.000134,0.0,0.0,0.0,0.0
1565978343195791626,6e-06,-0.000134,0.0,0.0,0.0,0.0
1565978343199814836,7e-06,-0.000133,0.0,0.0,0.0,0.0
1565978343203733204,6e-06,-0.000132,0.0,0.0,0.0,0.0
1565978343207791221,7e-06,-0.000131,0.0,0.0,0.0,0.0
1565978343211796252,1e-05,-0.00013,0.0,0.0,0.0,0.0
1565978343215839394,7e-06,-0.000132,0.0,0.0,0.0,0.0
