%time,field0,field1,field2,field3,field4,field5
1566425484211237128,-2.8e-05,-0.000192,0.0,0.0,0.0,0.0
1566425484215409371,-2.6e-05,-0.00019,0.0,0.0,0.0,0.0
1566425484219462903,-2.9e-05,-0.000193,0.0,0.0,0.0,0.0
1566425484223358264,-3e-05,-0.000191,0.0,0.0,0.0,0.0
1566425484227538000,-2.9e-05,-0.000191,0.0,0.0,0.0,0.0
1566425484233496747,-2.6e-05,-0.000191,0.0,0.0,0.0,0.0
1566425484235792909,-3e-05,-0.000191,0.0,0.0,0.0,0.0
1566425484239877546,-2.5e-05,-0.00019,0.0,0.0,0.0,0.0
1566425484243369467,-2.6e-05,-0.000192,0.0,0.0,0.0,0.0
1566425484247565061,-2.7e-05,-0.000193,0.0,0.0,0.0,0.0
1566425484251628571,-2.8e-05,-0.000192,0.0,0.0,0.0,0.0
1566425484255336839,-2.6e-05,-0.000193,0.0,0.0,0.0,0.0
1566425484259171288,-2.6e-05,-0.000192,0.0,0.0,0.0,0.0
1566425484263512789,-2.8e-05,-0.000191,0.0,0.0,0.0,0.0
1566425484267146627,-2.8e-05,-0.000193,0.0,0.0,0.0,0.0
1566425484271189752,-2.8e-05,-0.000192,0.0,0.0,0.0,0.0
1566425484275344890,-2.6e-05,-0.000189,0.0,0.0,0.0,0.0
1566425484279038853,-2.8e-05,-0.000192,0.0,0.0,0.0,0.0
1566425484283235603,-2.6e-05,-0.000191,0.0,0.0,0.0,0.0
1566425484287401837,-2.7e-05,-0.000194,0.0,0.0,0.0,0.0
1566425484291243352,-2.8e-05,-0.000191,0.0,0.0,0.0,0.0
1566425484295443014,-2.4e-05,-0.000194,0.0,0.0,0.0,0.0
1566425484299770896,-2.7e-05,-0.000191,0.0,0.0,0.0,0.0
1566425484303358499,-2.4e-05,-0.000193,0.0,0.0,0.0,0.0
1566425484307340131,-2.7e-05,-0.000191,0.0,0.0,0.0,0.0
1566425484315506323,-2.6e-05,-0.000192,0.0,0.0,0.0,0.0
1566425484315520966,-2.7e-05,-0.000195,0.0,0.0,0.0,0.0
1566425484319302606,-2.8e-05,-0.000193,0.0,0.0,0.0,0.0
1566425484323258737,-2.7e-05,-0.000192,0.0,0.0,0.0,0.0
