%time,field0,field1,field2,field3,field4,field5
1566249485628973027,1.4e-05,6e-06,0.0,0.0,0.0,0.0
1566249485632593266,1.8e-05,1e-05,0.0,0.0,0.0,0.0
1566249485636454542,1.5e-05,9e-06,0.0,0.0,0.0,0.0
1566249485640062733,1.2e-05,1.3e-05,0.0,0.0,0.0,0.0
1566249485644331458,1.5e-05,1.2e-05,0.0,0.0,0.0,0.0
1566249485648573752,1.2e-05,1.3e-05,0.0,0.0,0.0,0.0
1566249485652185015,1.5e-05,1.3e-05,0.0,0.0,0.0,0.0
1566249485656327949,1.7e-05,6e-06,0.0,0.0,0.0,0.0
1566249485660501831,1.9e-05,1.2e-05,0.0,0.0,0.0,0.0
1566249485664703121,1.5e-05,1.2e-05,0.0,0.0,0.0,0.0
1566249485669141767,1.3e-05,9e-06,0.0,0.0,0.0,0.0
1566249485672357291,1.3e-05,9e-06,0.0,0.0,0.0,0.0
1566249485676841417,1.3e-05,7e-06,0.0,0.0,0.0,0.0
1566249485680164416,1.5e-05,9e-06,0.0,0.0,0.0,0.0
1566249485684220083,1.6e-05,9e-06,0.0,0.0,0.0,0.0
1566249485688290628,1.8e-05,1e-05,0.0,0.0,0.0,0.0
1566249485692207979,1.6e-05,7e-06,0.0,0.0,0.0,0.0
1566249485697195878,1.6e-05,8e-06,0.0,0.0,0.0,0.0
1566249485704622731,2e-05,6e-06,0.0,0.0,0.0,0.0
1566249485704637515,1.9e-05,6e-06,0.0,0.0,0.0,0.0
1566249485708502769,1.5e-05,9e-06,0.0,0.0,0.0,0.0
1566249485712388382,1.3e-05,8e-06,0.0,0.0,0.0,0.0
1566249485716135456,1.4e-05,4e-06,0.0,0.0,0.0,0.0
1566249485720398267,1.5e-05,8e-06,0.0,0.0,0.0,0.0
1566249485724209685,1.2e-05,8e-06,0.0,0.0,0.0,0.0
1566249485728026448,1.3e-05,8e-06,0.0,0.0,0.0,0.0
1566249485732179609,1.3e-05,8e-06,0.0,0.0,0.0,0.0
1566249485736318998,1.4e-05,1.6e-05,0.0,0.0,0.0,0.0
1566249485740169930,1.6e-05,1.2e-05,0.0,0.0,0.0,0.0
1566249485744190449,1.5e-05,8e-06,0.0,0.0,0.0,0.0
1566249485748406750,1.3e-05,8e-06,0.0,0.0,0.0,0.0
1566249485752520925,1.7e-05,1e-05,0.0,0.0,0.0,0.0
1566249485756374887,1.8e-05,8e-06,0.0,0.0,0.0,0.0
1566249485760219825,1.3e-05,8e-06,0.0,0.0,0.0,0.0
1566249485764589696,1.6e-05,4e-06,0.0,0.0,0.0,0.0
1566249485768362245,1e-05,5e-06,0.0,0.0,0.0,0.0
1566249485772339683,1.3e-05,7e-06,0.0,0.0,0.0,0.0
1566249485777146356,1.3e-05,1.3e-05,0.0,0.0,0.0,0.0
1566249485780228180,1.6e-05,1.1e-05,0.0,0.0,0.0,0.0
1566249485784198284,1.6e-05,8e-06,0.0,0.0,0.0,0.0
1566249485788364611,1.4e-05,1e-05,0.0,0.0,0.0,0.0
1566249485792416211,1.6e-05,7e-06,0.0,0.0,0.0,0.0
1566249485796247935,1.3e-05,9e-06,0.0,0.0,0.0,0.0
1566249485800577746,1.5e-05,6e-06,0.0,0.0,0.0,0.0
1566249485804292795,1.4e-05,7e-06,0.0,0.0,0.0,0.0
1566249485808029441,1.5e-05,7e-06,0.0,0.0,0.0,0.0
1566249485812247709,1.6e-05,7e-06,0.0,0.0,0.0,0.0
1566249485816250718,1.5e-05,8e-06,0.0,0.0,0.0,0.0
1566249485820191110,1.2e-05,9e-06,0.0,0.0,0.0,0.0
1566249485824282647,1.2e-05,1.4e-05,0.0,0.0,0.0,0.0
1566249485828279227,1.7e-05,9e-06,0.0,0.0,0.0,0.0
1566249485832203137,1.2e-05,1e-05,0.0,0.0,0.0,0.0
1566249485836309948,1.1e-05,1.1e-05,0.0,0.0,0.0,0.0
1566249485840404642,1.4e-05,1e-05,0.0,0.0,0.0,0.0
1566249485844176826,1.3e-05,1.1e-05,0.0,0.0,0.0,0.0
1566249485848331650,1.6e-05,1e-05,0.0,0.0,0.0,0.0
1566249485852411201,1.9e-05,9e-06,0.0,0.0,0.0,0.0
1566249485856474333,1.4e-05,1.2e-05,0.0,0.0,0.0,0.0
1566249485863864484,1.5e-05,7e-06,0.0,0.0,0.0,0.0
1566249485866235926,1.6e-05,1.4e-05,0.0,0.0,0.0,0.0
1566249485868570203,1.7e-05,1.1e-05,0.0,0.0,0.0,0.0
1566249485872197076,1.2e-05,1.5e-05,0.0,0.0,0.0,0.0
1566249485877439821,1.7e-05,1.4e-05,0.0,0.0,0.0,0.0
1566249485880146401,1.2e-05,1.2e-05,0.0,0.0,0.0,0.0
1566249485884258798,1.5e-05,1e-05,0.0,0.0,0.0,0.0
1566249485888318242,1.6e-05,1.2e-05,0.0,0.0,0.0,0.0
1566249485892268845,1.4e-05,7e-06,0.0,0.0,0.0,0.0
1566249485896525387,1.4e-05,8e-06,0.0,0.0,0.0,0.0
1566249485900347980,1.6e-05,1e-05,0.0,0.0,0.0,0.0
1566249485904341860,1.7e-05,9e-06,0.0,0.0,0.0,0.0
1566249485908747105,1.4e-05,1e-05,0.0,0.0,0.0,0.0
1566249485913024184,1.3e-05,1.2e-05,0.0,0.0,0.0,0.0
1566249485916339925,1.5e-05,8e-06,0.0,0.0,0.0,0.0
1566249485920373684,1.6e-05,1.3e-05,0.0,0.0,0.0,0.0
1566249485924292794,1.7e-05,1.2e-05,0.0,0.0,0.0,0.0
1566249485929140880,1.5e-05,1.3e-05,0.0,0.0,0.0,0.0
1566249485931988248,1.4e-05,1.5e-05,0.0,0.0,0.0,0.0
1566249485936105918,1.8e-05,1e-05,0.0,0.0,0.0,0.0
1566249485940186753,1.5e-05,1.3e-05,0.0,0.0,0.0,0.0
1566249485944232745,1.4e-05,1.1e-05,0.0,0.0,0.0,0.0
1566249485948386976,1.5e-05,1.3e-05,0.0,0.0,0.0,0.0
1566249485952214216,2e-05,1e-05,0.0,0.0,0.0,0.0
1566249485956324510,1.6e-05,1.1e-05,0.0,0.0,0.0,0.0
1566249485960364100,1.8e-05,1.1e-05,0.0,0.0,0.0,0.0
1566249485964409267,1.9e-05,7e-06,0.0,0.0,0.0,0.0
1566249485968474631,1.5e-05,9e-06,0.0,0.0,0.0,0.0
1566249485974529866,1.7e-05,1e-05,0.0,0.0,0.0,0.0
1566249485977504776,1.8e-05,1.1e-05,0.0,0.0,0.0,0.0
1566249485980168642,1.5e-05,9e-06,0.0,0.0,0.0,0.0
1566249485984298106,1.4e-05,1.1e-05,0.0,0.0,0.0,0.0
1566249485988210657,1.8e-05,1.1e-05,0.0,0.0,0.0,0.0
1566249485992355605,1.7e-05,6e-06,0.0,0.0,0.0,0.0
1566249485996133191,1.7e-05,7e-06,0.0,0.0,0.0,0.0
1566249486000003969,1.3e-05,8e-06,0.0,0.0,0.0,0.0
1566249486004642281,1.4e-05,1e-05,0.0,0.0,0.0,0.0
1566249486008107413,1.6e-05,1.1e-05,0.0,0.0,0.0,0.0
1566249486012387173,1.7e-05,1e-05,0.0,0.0,0.0,0.0
1566249486016256110,1.8e-05,9e-06,0.0,0.0,0.0,0.0
1566249486020338157,1.7e-05,9e-06,0.0,0.0,0.0,0.0
1566249486024520073,1.4e-05,7e-06,0.0,0.0,0.0,0.0
1566249486029495301,1.7e-05,9e-06,0.0,0.0,0.0,0.0
1566249486032138196,1.6e-05,1e-05,0.0,0.0,0.0,0.0
1566249486036180256,1.4e-05,1.4e-05,0.0,0.0,0.0,0.0
1566249486040260127,1.4e-05,1.1e-05,0.0,0.0,0.0,0.0
1566249486044241935,1.6e-05,8e-06,0.0,0.0,0.0,0.0
1566249486048331450,1.3e-05,5e-06,0.0,0.0,0.0,0.0
1566249486052467638,1.3e-05,6e-06,0.0,0.0,0.0,0.0
1566249486055977598,1.5e-05,9e-06,0.0,0.0,0.0,0.0
1566249486060324784,1.8e-05,9e-06,0.0,0.0,0.0,0.0
1566249486064124222,1.5e-05,9e-06,0.0,0.0,0.0,0.0
1566249486068116790,1.6e-05,9e-06,0.0,0.0,0.0,0.0
1566249486072261888,1.8e-05,8e-06,0.0,0.0,0.0,0.0
1566249486076328082,1.4e-05,1.1e-05,0.0,0.0,0.0,0.0
1566249486080310227,1.5e-05,7e-06,0.0,0.0,0.0,0.0
1566249486084238342,1.5e-05,1e-05,0.0,0.0,0.0,0.0
1566249486088320677,1.3e-05,9e-06,0.0,0.0,0.0,0.0
1566249486092179754,1.2e-05,5e-06,0.0,0.0,0.0,0.0
1566249486096140392,1.2e-05,1e-05,0.0,0.0,0.0,0.0
1566249486100332983,1.6e-05,9e-06,0.0,0.0,0.0,0.0
1566249486104695143,1.5e-05,1.3e-05,0.0,0.0,0.0,0.0
1566249486108369174,1.1e-05,1.2e-05,0.0,0.0,0.0,0.0
1566249486116092635,1.5e-05,9e-06,0.0,0.0,0.0,0.0
1566249486118251924,1.8e-05,9e-06,0.0,0.0,0.0,0.0
1566249486120609464,1.5e-05,9e-06,0.0,0.0,0.0,0.0
1566249486124060823,1.6e-05,1.1e-05,0.0,0.0,0.0,0.0
1566249486128069580,1.6e-05,9e-06,0.0,0.0,0.0,0.0
1566249486132024835,1.4e-05,8e-06,0.0,0.0,0.0,0.0
1566249486136356717,1.7e-05,9e-06,0.0,0.0,0.0,0.0
1566249486140290700,1.7e-05,7e-06,0.0,0.0,0.0,0.0
1566249486144211376,1.7e-05,1e-05,0.0,0.0,0.0,0.0
1566249486148100222,1.3e-05,7e-06,0.0,0.0,0.0,0.0
1566249486153338894,1.5e-05,1e-05,0.0,0.0,0.0,0.0
1566249486156154372,1.6e-05,1.2e-05,0.0,0.0,0.0,0.0
1566249486160369782,1.9e-05,6e-06,0.0,0.0,0.0,0.0
1566249486164274712,1.8e-05,9e-06,0.0,0.0,0.0,0.0
1566249486168270981,1.7e-05,6e-06,0.0,0.0,0.0,0.0
1566249486172230362,1.8e-05,8e-06,0.0,0.0,0.0,0.0
1566249486176341917,1.9e-05,1.1e-05,0.0,0.0,0.0,0.0
1566249486180265018,1.5e-05,9e-06,0.0,0.0,0.0,0.0
1566249486184523600,1.5e-05,9e-06,0.0,0.0,0.0,0.0
1566249486188291920,1.7e-05,6e-06,0.0,0.0,0.0,0.0
1566249486192158315,1.8e-05,1.2e-05,0.0,0.0,0.0,0.0
