%time,field.x,field.y,field.z
1566330252374097243,-0.0,0.0,0.0
1566330252392973405,-0.0,0.0,0.0
1566330252413008201,-0.0,0.0,0.0
1566330252434775022,-0.0,0.0,0.0
1566330252453568156,-0.0,0.0,0.0
1566330252473858908,-0.0,0.0,0.0
1566330252493795155,-0.0,0.0,0.0
1566330252512945343,-0.0,0.0,0.0
1566330252532929516,-0.0,0.0,0.0
1566330252553091590,-0.0,0.0,0.0
1566330252573486348,-0.0,0.0,0.0
1566330252592557041,-0.0,0.0,0.0
1566330252614562893,-0.0,0.0,0.0
1566330252636346461,-0.0,0.0,0.0
1566330252652941124,-0.0,0.0,0.0
1566330252673756727,-0.0,0.0,0.0
1566330252692916842,-0.0,0.0,0.0
1566330252713014661,-0.0,0.0,0.0
1566330252732521640,-0.0,0.0,0.0
1566330252752413841,-0.0,0.0,0.0
1566330252772620004,-0.0,0.0,0.0
1566330252793303343,-0.0,0.0,0.0
1566330252815673988,-0.0,0.0,0.0
1566330252832595062,-0.0,0.0,0.0
1566330252852674424,-0.0,0.0,0.0
1566330252872842350,-0.0,0.0,0.0
1566330252892084294,-0.0,0.0,0.0
1566330252912077735,-0.0,0.0,0.0
1566330252933622711,-0.0,0.0,0.0
1566330252952977479,-0.0,0.0,0.0
1566330252972478410,-0.0,0.0,0.0
1566330252992527994,-0.0,0.0,0.0
1566330253012613005,-0.0,0.0,0.0
1566330253031618939,-0.0,0.0,0.0
1566330253051871850,-0.0,0.0,0.0
1566330253071985479,-0.0,0.0,0.0
1566330253091865129,-0.0,0.0,0.0
1566330253112078787,-0.0,0.0,0.0
1566330253132062608,-0.0,0.0,0.0
1566330253152143424,-0.0,0.0,0.0
1566330253172224551,-0.0,0.0,0.0
1566330253191254965,-0.0,0.0,0.0
1566330253211564184,-0.0,0.0,0.0
1566330253231849630,-0.0,0.0,0.0
1566330253251784558,-0.0,0.0,0.0
1566330253271950991,-0.0,0.0,0.0
1566330253292155225,-0.0,0.0,0.0
1566330253311358857,-0.0,0.0,0.0
1566330253331383839,-0.0,0.0,0.0
1566330253351715847,-0.0,0.0,0.0
1566330253371444326,-0.0,0.0,0.0
1566330253391690746,-0.0,0.0,0.0
1566330253411753500,-0.0,0.0,0.0
1566330253431832114,-0.0,0.0,0.0
1566330253450963328,-0.0,0.0,0.0
1566330253471305655,-0.0,0.0,0.0
1566330253491552103,-0.0,0.0,0.0
1566330253510805197,-0.0,0.0,0.0
1566330253531070407,-0.0,0.0,0.0
1566330253551335236,-0.0,0.0,0.0
1566330253571309629,-0.0,0.0,0.0
1566330253591507272,-0.0,0.0,0.0
1566330253610685793,-0.0,0.0,0.0
1566330253630883961,-0.0,0.0,0.0
1566330253651348897,-0.0,0.0,0.0
1566330253671549352,-0.0,0.0,0.0
1566330253691695028,-0.0,0.0,0.0
1566330253710869944,-0.0,0.0,0.0
1566330253731823499,-0.0,0.0,0.0
1566330253750949970,-0.0,0.0,0.0
1566330253770991478,-0.0,0.0,0.0
1566330253790277320,-0.0,0.0,0.0
1566330253810289321,-0.0,0.0,0.0
1566330253830424060,-0.0,0.0,0.0
1566330253850551330,-0.0,0.0,0.0
1566330253870733748,-0.0,0.0,0.0
1566330253890949728,-0.0,0.0,0.0
1566330253910165121,-0.0,0.0,0.0
1566330253930216717,-0.0,0.0,0.0
1566330253950288594,-0.0,0.0,0.0
1566330253970369572,-0.0,0.0,0.0
1566330253990451063,-0.0,0.0,0.0
1566330254010575584,-0.0,0.0,0.0
1566330254030638749,-0.0,0.0,0.0
1566330254049697135,-0.0,0.0,0.0
1566330254069873986,-0.0,0.0,0.0
1566330254089967735,-0.0,0.0,0.0
1566330254110201776,-0.0,0.0,0.0
1566330254130572564,-0.0,0.0,0.0
1566330254150366732,-0.0,0.0,0.0
1566330254169442605,-0.0,0.0,0.0
1566330254189496482,-0.0,0.0,0.0
1566330254209973760,-0.0,0.0,0.0
1566330254229748063,-0.0,0.0,0.0
1566330254249961762,-0.0,0.0,0.0
1566330254270116837,-0.0,0.0,0.0
1566330254289285030,-0.0,0.0,0.0
1566330254309356700,-0.0,0.0,0.0
1566330254329398364,-0.0,0.0,0.0
1566330254349553057,-0.0,0.0,0.0
1566330254369884447,-0.0,0.0,0.0
1566330254389833900,-0.0,0.0,0.0
1566330254408926386,-0.0,0.0,0.0
1566330254429176962,-0.0,0.0,0.0
1566330254449106761,-0.0,0.0,0.0
1566330254469027056,-0.0,0.0,0.0
1566330254489201738,-0.0,0.0,0.0
1566330254509328505,-0.0,0.0,0.0
1566330254529402833,-0.0,0.0,0.0
1566330254549379143,-0.0,0.0,0.0
1566330254569427191,-0.0,0.0,0.0
1566330254588519232,-0.0,0.0,0.0
1566330254608586511,-0.0,0.0,0.0
1566330254628741991,-0.0,0.0,0.0
1566330254648791972,-0.0,0.0,0.0
1566330254668932277,-0.0,0.0,0.0
1566330254691540812,-0.0,0.0,0.0
1566330254708552129,-0.0,0.0,0.0
1566330254728508232,-0.0,0.0,0.0
1566330254748757325,-0.0,0.0,0.0
1566330254769306979,-0.0,0.0,0.0
1566330254788318598,-0.0,0.0,0.0
1566330254808387080,-0.0,0.0,0.0
1566330254828448558,-0.0,0.0,0.0
1566330254848645623,-0.0,0.0,0.0
1566330254868586231,-0.0,0.0,0.0
1566330254888480518,-0.0,0.0,0.0
1566330254908665482,-0.0,0.0,0.0
1566330254928987995,-0.0,0.0,0.0
1566330254948070579,-0.0,0.0,0.0
1566330254968107403,-0.0,0.0,0.0
1566330254988110044,-0.0,0.0,0.0
1566330255008299234,-0.0,0.0,0.0
1566330255028449940,-0.0,0.0,0.0
1566330255048500668,-0.0,0.0,0.0
1566330255068488257,-0.0,0.0,0.0
1566330255088386127,-0.0,0.0,0.0
1566330255108549015,-0.0,0.0,0.0
1566330255127630221,-0.0,0.0,0.0
1566330255147817149,-0.0,0.0,0.0
1566330255167958358,-0.0,0.0,0.0
1566330255188041818,-0.0,0.0,0.0
1566330255208105640,-0.0,0.0,0.0
1566330255228203325,-0.0,0.0,0.0
1566330255248302471,-0.0,0.0,0.0
1566330255267349824,-0.0,0.0,0.0
1566330255287394839,-0.0,0.0,0.0
1566330255307933766,-0.0,0.0,0.0
1566330255328051525,-0.0,0.0,0.0
1566330255347227926,-0.0,0.0,0.0
1566330255367299994,-0.0,0.0,0.0
1566330255387283110,-0.0,0.0,0.0
1566330255407774454,-0.0,0.0,0.0
1566330255427072895,-0.0,0.0,0.0
1566330255447077476,-0.0,0.0,0.0
1566330255467218934,-0.0,0.0,0.0
1566330255487353156,-0.0,0.0,0.0
1566330255507655236,-0.0,0.0,0.0
1566330255526614050,-0.0,0.0,0.0
1566330255546956683,-0.0,0.0,0.0
1566330255567115106,-0.0,0.0,0.0
1566330255587267240,-0.0,0.0,0.0
1566330255607275746,-0.0,0.0,0.0
1566330255627314886,-0.0,0.0,0.0
