%time,field0,field1,field2,field3,field4,field5
1566503513557468812,-2e-05,-6.6e-05,0.0,0.0,0.0,0.0
1566503513561030965,-1.8e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566503513569206656,-1.3e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566503513573654898,-1.4e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566503513575926816,-1.7e-05,-6.2e-05,0.0,0.0,0.0,0.0
1566503513579092680,-1.6e-05,-6.4e-05,0.0,0.0,0.0,0.0
1566503513582904768,-1.9e-05,-6.5e-05,0.0,0.0,0.0,0.0
1566503513591453706,-1.7e-05,-6.3e-05,0.0,0.0,0.0,0.0
1566503513591470156,-1.9e-05,-6e-05,0.0,0.0,0.0,0.0
1566503513593451110,-1.6e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566503513597178456,-1.7e-05,-6e-05,0.0,0.0,0.0,0.0
1566503513601434244,-1.4e-05,-6.2e-05,0.0,0.0,0.0,0.0
1566503513605407602,-1.8e-05,-6.6e-05,0.0,0.0,0.0,0.0
1566503513609271022,-1.9e-05,-6.2e-05,0.0,0.0,0.0,0.0
1566503513613111243,-1.8e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566503513617360794,-1.9e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566503513621253231,-1.6e-05,-6e-05,0.0,0.0,0.0,0.0
1566503513625350930,-1.9e-05,-6.2e-05,0.0,0.0,0.0,0.0
1566503513629407149,-1.7e-05,-6.3e-05,0.0,0.0,0.0,0.0
1566503513633355847,-1.8e-05,-5.8e-05,0.0,0.0,0.0,0.0
1566503513637210904,-1.4e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566503513641223192,-1.5e-05,-5.9e-05,0.0,0.0,0.0,0.0
1566503513645395353,-1.8e-05,-6.3e-05,0.0,0.0,0.0,0.0
1566503513649171963,-1.6e-05,-6.4e-05,0.0,0.0,0.0,0.0
1566503513653135297,-1.8e-05,-6.6e-05,0.0,0.0,0.0,0.0
1566503513657302156,-1.6e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566503513661269007,-1.9e-05,-6.3e-05,0.0,0.0,0.0,0.0
1566503513665495751,-1.6e-05,-6.6e-05,0.0,0.0,0.0,0.0
1566503513669169996,-1.8e-05,-6.3e-05,0.0,0.0,0.0,0.0
1566503513673067228,-2.2e-05,-6.3e-05,0.0,0.0,0.0,0.0
1566503513677369893,-1.6e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566503513681237539,-1.8e-05,-6.3e-05,0.0,0.0,0.0,0.0
1566503513685324678,-1.5e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566503513689230834,-1.3e-05,-6e-05,0.0,0.0,0.0,0.0
1566503513694230434,-1.7e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566503513697120881,-1.6e-05,-6.4e-05,0.0,0.0,0.0,0.0
1566503513701167134,-1.6e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566503513705241614,-2e-05,-6.5e-05,0.0,0.0,0.0,0.0
1566503513709201116,-1.6e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566503513713138952,-1.6e-05,-6.4e-05,0.0,0.0,0.0,0.0
1566503513717492191,-1.5e-05,-6.4e-05,0.0,0.0,0.0,0.0
1566503513721029188,-1.8e-05,-6.4e-05,0.0,0.0,0.0,0.0
1566503513725392621,-1.5e-05,-6.5e-05,0.0,0.0,0.0,0.0
1566503513729232734,-1.7e-05,-6.4e-05,0.0,0.0,0.0,0.0
1566503513733551980,-1.7e-05,-6.4e-05,0.0,0.0,0.0,0.0
1566503513737200575,-1.5e-05,-6.3e-05,0.0,0.0,0.0,0.0
1566503513741045423,-1.6e-05,-6.3e-05,0.0,0.0,0.0,0.0
1566503513745213360,-1.7e-05,-6.2e-05,0.0,0.0,0.0,0.0
1566503513749222635,-2e-05,-6.2e-05,0.0,0.0,0.0,0.0
1566503513753131539,-1.8e-05,-5.9e-05,0.0,0.0,0.0,0.0
1566503513757072840,-1.3e-05,-5.9e-05,0.0,0.0,0.0,0.0
1566503513761060508,-1.6e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566503513765245362,-2e-05,-6e-05,0.0,0.0,0.0,0.0
1566503513769314864,-1.8e-05,-6.4e-05,0.0,0.0,0.0,0.0
1566503513773084011,-1.9e-05,-6.4e-05,0.0,0.0,0.0,0.0
1566503513777228617,-1.7e-05,-6.3e-05,0.0,0.0,0.0,0.0
1566503513781355139,-1.4e-05,-6.2e-05,0.0,0.0,0.0,0.0
1566503513784995250,-2e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566503513789138710,-1.7e-05,-6.4e-05,0.0,0.0,0.0,0.0
1566503513793608122,-1.9e-05,-6e-05,0.0,0.0,0.0,0.0
1566503513797018154,-1.5e-05,-6.2e-05,0.0,0.0,0.0,0.0
1566503513801238202,-1.6e-05,-6.3e-05,0.0,0.0,0.0,0.0
1566503513805549683,-1.5e-05,-6.3e-05,0.0,0.0,0.0,0.0
1566503513809107107,-1.8e-05,-6e-05,0.0,0.0,0.0,0.0
1566503513813469579,-1.6e-05,-6.3e-05,0.0,0.0,0.0,0.0
1566503513817126375,-2e-05,-6.4e-05,0.0,0.0,0.0,0.0
1566503513821472554,-1.3e-05,-6.6e-05,0.0,0.0,0.0,0.0
1566503513826171979,-1.6e-05,-6.5e-05,0.0,0.0,0.0,0.0
1566503513829191188,-1.7e-05,-6.4e-05,0.0,0.0,0.0,0.0
1566503513833303670,-1.7e-05,-6.5e-05,0.0,0.0,0.0,0.0
1566503513837100906,-2.2e-05,-6e-05,0.0,0.0,0.0,0.0
1566503513841244334,-1.3e-05,-6.4e-05,0.0,0.0,0.0,0.0
1566503513845088967,-1.3e-05,-6.3e-05,0.0,0.0,0.0,0.0
1566503513849291015,-1e-05,-6.5e-05,0.0,0.0,0.0,0.0
1566503513853339600,-1.3e-05,-6.3e-05,0.0,0.0,0.0,0.0
1566503513858502964,-1.4e-05,-6.5e-05,0.0,0.0,0.0,0.0
1566503513861253378,-1.4e-05,-6.2e-05,0.0,0.0,0.0,0.0
1566503513865093088,-1.4e-05,-5.9e-05,0.0,0.0,0.0,0.0
1566503513869212094,-1.7e-05,-6.3e-05,0.0,0.0,0.0,0.0
1566503513873057294,-1.5e-05,-6.3e-05,0.0,0.0,0.0,0.0
1566503513877379974,-1.6e-05,-6.3e-05,0.0,0.0,0.0,0.0
1566503513881479656,-1.6e-05,-6.2e-05,0.0,0.0,0.0,0.0
