%time,field0,field1,field2,field3,field4,field5
1566236068027568190,1.4e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566236068027582495,1.3e-05,-5.9e-05,0.0,0.0,0.0,0.0
1566236068032659573,1.5e-05,-6.3e-05,0.0,0.0,0.0,0.0
1566236068035716894,1.3e-05,-6e-05,0.0,0.0,0.0,0.0
1566236068039432936,1.4e-05,-6e-05,0.0,0.0,0.0,0.0
1566236068043743290,1.1e-05,-6e-05,0.0,0.0,0.0,0.0
1566236068047728876,1.5e-05,-6.5e-05,0.0,0.0,0.0,0.0
1566236068051710695,1.4e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566236068056011636,1.2e-05,-6e-05,0.0,0.0,0.0,0.0
1566236068059625658,1.5e-05,-6.2e-05,0.0,0.0,0.0,0.0
1566236068063672425,1.1e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566236068067681823,1.6e-05,-6e-05,0.0,0.0,0.0,0.0
1566236068071583922,1.6e-05,-6e-05,0.0,0.0,0.0,0.0
1566236068075523360,1.3e-05,-6.3e-05,0.0,0.0,0.0,0.0
1566236068079551215,1.1e-05,-6e-05,0.0,0.0,0.0,0.0
1566236068083621756,1.7e-05,-6e-05,0.0,0.0,0.0,0.0
1566236068087443691,1.1e-05,-6e-05,0.0,0.0,0.0,0.0
1566236068091484869,1.2e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566236068095513508,1.1e-05,-5.9e-05,0.0,0.0,0.0,0.0
1566236068099420590,1.4e-05,-6.2e-05,0.0,0.0,0.0,0.0
1566236068103709886,1.4e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566236068107714797,1.3e-05,-5.9e-05,0.0,0.0,0.0,0.0
1566236068111733457,8e-06,-6e-05,0.0,0.0,0.0,0.0
1566236068115547484,9e-06,-6e-05,0.0,0.0,0.0,0.0
1566236068119761474,1.3e-05,-5.9e-05,0.0,0.0,0.0,0.0
1566236068123550665,1.2e-05,-6.4e-05,0.0,0.0,0.0,0.0
1566236068127596337,1.1e-05,-6e-05,0.0,0.0,0.0,0.0
1566236068131749545,1.1e-05,-5.9e-05,0.0,0.0,0.0,0.0
1566236068135801520,1.1e-05,-5.9e-05,0.0,0.0,0.0,0.0
1566236068139376142,1.2e-05,-5.6e-05,0.0,0.0,0.0,0.0
1566236068143520987,1.3e-05,-6.2e-05,0.0,0.0,0.0,0.0
1566236068147839907,1.2e-05,-5.9e-05,0.0,0.0,0.0,0.0
1566236068151477657,1.2e-05,-6e-05,0.0,0.0,0.0,0.0
1566236068155323852,1.3e-05,-5.8e-05,0.0,0.0,0.0,0.0
1566236068159530137,1.2e-05,-5.8e-05,0.0,0.0,0.0,0.0
1566236068163536013,1.4e-05,-6e-05,0.0,0.0,0.0,0.0
1566236068167547042,1.6e-05,-5.7e-05,0.0,0.0,0.0,0.0
1566236068171683324,1.3e-05,-5.8e-05,0.0,0.0,0.0,0.0
1566236068175751201,1.6e-05,-5.9e-05,0.0,0.0,0.0,0.0
1566236068179595390,1.2e-05,-5.9e-05,0.0,0.0,0.0,0.0
1566236068184033802,1.2e-05,-5.9e-05,0.0,0.0,0.0,0.0
1566236068187686540,1.3e-05,-6.3e-05,0.0,0.0,0.0,0.0
1566236068191910507,1.3e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566236068195504566,1.3e-05,-5.6e-05,0.0,0.0,0.0,0.0
1566236068199682995,1e-05,-6e-05,0.0,0.0,0.0,0.0
1566236068204050306,1.2e-05,-5.8e-05,0.0,0.0,0.0,0.0
1566236068207895562,1.5e-05,-5.8e-05,0.0,0.0,0.0,0.0
1566236068211286963,1.4e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566236068215598009,1.3e-05,-5.7e-05,0.0,0.0,0.0,0.0
1566236068219907681,1.1e-05,-5.7e-05,0.0,0.0,0.0,0.0
1566236068223816849,1.6e-05,-5.5e-05,0.0,0.0,0.0,0.0
1566236068227264070,1.3e-05,-6e-05,0.0,0.0,0.0,0.0
1566236068231426451,1.6e-05,-6.3e-05,0.0,0.0,0.0,0.0
1566236068235726539,1.3e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566236068239533923,1.6e-05,-6e-05,0.0,0.0,0.0,0.0
1566236068243631603,9e-06,-5.9e-05,0.0,0.0,0.0,0.0
1566236068247640698,1e-05,-5.7e-05,0.0,0.0,0.0,0.0
1566236068251746255,1.2e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566236068255439263,1.2e-05,-5.9e-05,0.0,0.0,0.0,0.0
1566236068259711043,9e-06,-6.1e-05,0.0,0.0,0.0,0.0
1566236068263477335,1.3e-05,-5.9e-05,0.0,0.0,0.0,0.0
1566236068268196968,1.3e-05,-6.1e-05,0.0,0.0,0.0,0.0
1566236068271711129,1.7e-05,-6e-05,0.0,0.0,0.0,0.0
