%time,field0,field1,field2,field3,field4,field5
1565979491420569185,0.0,-0.000706,0.0,0.0,0.0,0.0
1565979491423911834,-2e-06,-0.000702,0.0,0.0,0.0,0.0
1565979491427821501,0.0,-0.000705,0.0,0.0,0.0,0.0
1565979491431874307,1e-06,-0.000706,0.0,0.0,0.0,0.0
1565979491435829014,2e-06,-0.000704,0.0,0.0,0.0,0.0
1565979491439726555,-4e-06,-0.000702,0.0,0.0,0.0,0.0
1565979491443926138,-1e-06,-0.000706,0.0,0.0,0.0,0.0
1565979491447754538,2e-06,-0.000703,0.0,0.0,0.0,0.0
1565979491451799615,2e-06,-0.000702,0.0,0.0,0.0,0.0
1565979491455776247,0.0,-0.000705,0.0,0.0,0.0,0.0
1565979491460156511,-1e-06,-0.000707,0.0,0.0,0.0,0.0
1565979491463675185,-4e-06,-0.000706,0.0,0.0,0.0,0.0
1565979491467986532,1e-06,-0.000705,0.0,0.0,0.0,0.0
1565979491476619838,0.0,-0.000707,0.0,0.0,0.0,0.0
1565979491478924524,-1e-06,-0.000702,0.0,0.0,0.0,0.0
1565979491481178873,0.0,-0.000705,0.0,0.0,0.0,0.0
1565979491483771968,2e-06,-0.000701,0.0,0.0,0.0,0.0
1565979491487791499,0.0,-0.000703,0.0,0.0,0.0,0.0
1565979491491727282,2e-06,-0.000705,0.0,0.0,0.0,0.0
1565979491495876783,2e-06,-0.000705,0.0,0.0,0.0,0.0
1565979491500069991,3e-06,-0.000707,0.0,0.0,0.0,0.0
1565979491503856039,-1e-06,-0.000702,0.0,0.0,0.0,0.0
1565979491507946191,-1e-06,-0.000704,0.0,0.0,0.0,0.0
1565979491511846868,-3e-06,-0.000702,0.0,0.0,0.0,0.0
1565979491516048378,0.0,-0.000706,0.0,0.0,0.0,0.0
1565979491519950854,0.0,-0.000704,0.0,0.0,0.0,0.0
1565979491523818182,-1e-06,-0.000705,0.0,0.0,0.0,0.0
1565979491527923803,-2e-06,-0.000706,0.0,0.0,0.0,0.0
1565979491531989062,1e-06,-0.000706,0.0,0.0,0.0,0.0
1565979491535915372,-1e-06,-0.000705,0.0,0.0,0.0,0.0
1565979491540057490,0.0,-0.000704,0.0,0.0,0.0,0.0
