%time,field0,field1,field2,field3,field4,field5
1566492743472914303,5e-06,4.3e-05,0.0,0.0,0.0,0.0
1566492743474881829,1.2e-05,4.3e-05,0.0,0.0,0.0,0.0
1566492743477463904,1.4e-05,4.4e-05,0.0,0.0,0.0,0.0
1566492743481624767,1.4e-05,4.2e-05,0.0,0.0,0.0,0.0
1566492743485644951,1.6e-05,4.6e-05,0.0,0.0,0.0,0.0
1566492743489801353,1.4e-05,4.4e-05,0.0,0.0,0.0,0.0
1566492743493765412,1.1e-05,4.4e-05,0.0,0.0,0.0,0.0
1566492743497641023,1.1e-05,4.7e-05,0.0,0.0,0.0,0.0
1566492743501516646,1.7e-05,4.8e-05,0.0,0.0,0.0,0.0
1566492743505759083,1.6e-05,4.6e-05,0.0,0.0,0.0,0.0
1566492743509870048,1.6e-05,4.5e-05,0.0,0.0,0.0,0.0
1566492743513846642,1.6e-05,4.7e-05,0.0,0.0,0.0,0.0
1566492743517725841,1.4e-05,4.8e-05,0.0,0.0,0.0,0.0
1566492743521968455,1.7e-05,5e-05,0.0,0.0,0.0,0.0
1566492743525490184,1.3e-05,4.7e-05,0.0,0.0,0.0,0.0
1566492743530006420,8e-06,4.8e-05,0.0,0.0,0.0,0.0
1566492743533991390,1.3e-05,4.7e-05,0.0,0.0,0.0,0.0
1566492743537761021,1e-05,4.6e-05,0.0,0.0,0.0,0.0
1566492743541723262,1.2e-05,4.5e-05,0.0,0.0,0.0,0.0
1566492743545544744,1.7e-05,4.7e-05,0.0,0.0,0.0,0.0
1566492743549569608,1e-05,4.7e-05,0.0,0.0,0.0,0.0
1566492743553675159,1.3e-05,4.7e-05,0.0,0.0,0.0,0.0
1566492743557708916,1e-05,4.6e-05,0.0,0.0,0.0,0.0
1566492743561875730,1.1e-05,4.3e-05,0.0,0.0,0.0,0.0
1566492743565677310,1.3e-05,4.4e-05,0.0,0.0,0.0,0.0
1566492743569799317,8e-06,4.6e-05,0.0,0.0,0.0,0.0
1566492743573839539,9e-06,4.7e-05,0.0,0.0,0.0,0.0
1566492743577898594,1.4e-05,4.8e-05,0.0,0.0,0.0,0.0
1566492743581616395,1.6e-05,4.6e-05,0.0,0.0,0.0,0.0
1566492743585377116,1.3e-05,4.8e-05,0.0,0.0,0.0,0.0
1566492743589546904,9e-06,4.6e-05,0.0,0.0,0.0,0.0
1566492743593845960,1.2e-05,4.7e-05,0.0,0.0,0.0,0.0
1566492743597608500,8e-06,4.4e-05,0.0,0.0,0.0,0.0
1566492743602387124,1.1e-05,4.8e-05,0.0,0.0,0.0,0.0
1566492743605784537,1.3e-05,4.3e-05,0.0,0.0,0.0,0.0
1566492743609922702,1.1e-05,4.5e-05,0.0,0.0,0.0,0.0
1566492743613701007,1.2e-05,4.7e-05,0.0,0.0,0.0,0.0
1566492743617657145,1e-05,4.6e-05,0.0,0.0,0.0,0.0
1566492743621786204,1.1e-05,4.6e-05,0.0,0.0,0.0,0.0
1566492743625670798,1.2e-05,4.7e-05,0.0,0.0,0.0,0.0
1566492743629502185,1.4e-05,5e-05,0.0,0.0,0.0,0.0
1566492743633858199,9e-06,4.8e-05,0.0,0.0,0.0,0.0
1566492743637933988,8e-06,4.6e-05,0.0,0.0,0.0,0.0
1566492743641443874,9e-06,4.6e-05,0.0,0.0,0.0,0.0
1566492743645439119,1e-05,4.6e-05,0.0,0.0,0.0,0.0
1566492743649812535,1.1e-05,4.7e-05,0.0,0.0,0.0,0.0
1566492743653553067,9e-06,4.7e-05,0.0,0.0,0.0,0.0
1566492743657892498,1.2e-05,4.6e-05,0.0,0.0,0.0,0.0
1566492743661737228,8e-06,4.6e-05,0.0,0.0,0.0,0.0
1566492743665677340,9e-06,4.8e-05,0.0,0.0,0.0,0.0
1566492743669831868,9e-06,4.6e-05,0.0,0.0,0.0,0.0
1566492743673944828,6e-06,4.7e-05,0.0,0.0,0.0,0.0
1566492743677777711,1.3e-05,4.5e-05,0.0,0.0,0.0,0.0
1566492743681730504,1e-05,4.4e-05,0.0,0.0,0.0,0.0
1566492743685739429,1.4e-05,4.4e-05,0.0,0.0,0.0,0.0
1566492743689558789,1.4e-05,4.5e-05,0.0,0.0,0.0,0.0
1566492743693992961,1.5e-05,4.5e-05,0.0,0.0,0.0,0.0
1566492743697661431,1.4e-05,4.7e-05,0.0,0.0,0.0,0.0
1566492743701636015,1.2e-05,4.8e-05,0.0,0.0,0.0,0.0
1566492743705515996,7e-06,4.7e-05,0.0,0.0,0.0,0.0
1566492743709570494,9e-06,4.6e-05,0.0,0.0,0.0,0.0
1566492743713787837,1e-05,4.5e-05,0.0,0.0,0.0,0.0
1566492743717809027,1.7e-05,4.6e-05,0.0,0.0,0.0,0.0
1566492743721679226,1.1e-05,4.5e-05,0.0,0.0,0.0,0.0
1566492743725765662,1.4e-05,4.5e-05,0.0,0.0,0.0,0.0
1566492743729555649,1.2e-05,4.5e-05,0.0,0.0,0.0,0.0
1566492743733714820,1.2e-05,4.7e-05,0.0,0.0,0.0,0.0
1566492743737613542,1.1e-05,4.4e-05,0.0,0.0,0.0,0.0
1566492743741788924,1.1e-05,4.9e-05,0.0,0.0,0.0,0.0
1566492743745747389,1.5e-05,4.6e-05,0.0,0.0,0.0,0.0
1566492743750005109,1.5e-05,4.9e-05,0.0,0.0,0.0,0.0
1566492743754767026,1.4e-05,4.8e-05,0.0,0.0,0.0,0.0
1566492743757936562,1.5e-05,4.6e-05,0.0,0.0,0.0,0.0
1566492743761681325,1.4e-05,4.5e-05,0.0,0.0,0.0,0.0
1566492743765579608,1.2e-05,4.6e-05,0.0,0.0,0.0,0.0
1566492743769690485,1.4e-05,4.9e-05,0.0,0.0,0.0,0.0
1566492743773975943,1.1e-05,4.7e-05,0.0,0.0,0.0,0.0
1566492743777896293,9e-06,4.4e-05,0.0,0.0,0.0,0.0
1566492743781721579,1.2e-05,4.5e-05,0.0,0.0,0.0,0.0
1566492743785695336,1.3e-05,4.5e-05,0.0,0.0,0.0,0.0
1566492743789843701,1.1e-05,4.8e-05,0.0,0.0,0.0,0.0
1566492743793878615,1.3e-05,4.6e-05,0.0,0.0,0.0,0.0
1566492743797724410,1e-05,4.5e-05,0.0,0.0,0.0,0.0
1566492743801798982,1.2e-05,4.4e-05,0.0,0.0,0.0,0.0
1566492743805437660,9e-06,4.5e-05,0.0,0.0,0.0,0.0
1566492743809474475,1.2e-05,4.1e-05,0.0,0.0,0.0,0.0
1566492743813710486,1.2e-05,4.5e-05,0.0,0.0,0.0,0.0
1566492743817812206,1.3e-05,4.5e-05,0.0,0.0,0.0,0.0
1566492743821865792,1.3e-05,4.6e-05,0.0,0.0,0.0,0.0
1566492743825647802,1.1e-05,4.8e-05,0.0,0.0,0.0,0.0
1566492743829720520,1.3e-05,4.6e-05,0.0,0.0,0.0,0.0
1566492743833842025,1.2e-05,4.8e-05,0.0,0.0,0.0,0.0
1566492743837863285,1.1e-05,4.7e-05,0.0,0.0,0.0,0.0
1566492743841648039,1.3e-05,4.6e-05,0.0,0.0,0.0,0.0
1566492743846107041,1.5e-05,4.6e-05,0.0,0.0,0.0,0.0
1566492743849923040,1.5e-05,4.8e-05,0.0,0.0,0.0,0.0
1566492743853654661,1.6e-05,4.6e-05,0.0,0.0,0.0,0.0
1566492743857600778,1.5e-05,4.9e-05,0.0,0.0,0.0,0.0
1566492743861722523,1.4e-05,5e-05,0.0,0.0,0.0,0.0
1566492743865856291,1.3e-05,4.7e-05,0.0,0.0,0.0,0.0
1566492743869580762,1.1e-05,4.6e-05,0.0,0.0,0.0,0.0
1566492743873736261,1.1e-05,4.8e-05,0.0,0.0,0.0,0.0
1566492743878016196,1.2e-05,4.6e-05,0.0,0.0,0.0,0.0
1566492743881720665,1.3e-05,4.7e-05,0.0,0.0,0.0,0.0
