%time,field0,field1,field2,field3,field4,field5
1566333114829701919,2.6e-05,-0.00016,0.0,0.0,0.0,0.0
1566333114833803704,2.2e-05,-0.000161,0.0,0.0,0.0,0.0
1566333114837762867,2.4e-05,-0.000161,0.0,0.0,0.0,0.0
1566333114841940304,2.4e-05,-0.000163,0.0,0.0,0.0,0.0
1566333114845917900,2.5e-05,-0.000159,0.0,0.0,0.0,0.0
1566333114849809095,2.5e-05,-0.000161,0.0,0.0,0.0,0.0
1566333114854010762,2.7e-05,-0.000161,0.0,0.0,0.0,0.0
1566333114857921698,2.6e-05,-0.000159,0.0,0.0,0.0,0.0
1566333114861761815,2.5e-05,-0.000159,0.0,0.0,0.0,0.0
1566333114865825869,2.7e-05,-0.000154,0.0,0.0,0.0,0.0
1566333114869774187,2.6e-05,-0.000158,0.0,0.0,0.0,0.0
1566333114873688952,2.3e-05,-0.000159,0.0,0.0,0.0,0.0
1566333114877717826,2.2e-05,-0.000162,0.0,0.0,0.0,0.0
1566333114881686080,2.4e-05,-0.000161,0.0,0.0,0.0,0.0
1566333114885819641,2.5e-05,-0.000157,0.0,0.0,0.0,0.0
1566333114889970516,2.6e-05,-0.00016,0.0,0.0,0.0,0.0
1566333114893991187,2.7e-05,-0.000159,0.0,0.0,0.0,0.0
1566333114898082783,2e-05,-0.000159,0.0,0.0,0.0,0.0
1566333114902043612,2e-05,-0.000158,0.0,0.0,0.0,0.0
1566333114909129955,2.3e-05,-0.00016,0.0,0.0,0.0,0.0
1566333114911287560,2.6e-05,-0.000163,0.0,0.0,0.0,0.0
1566333114913956107,2.5e-05,-0.000163,0.0,0.0,0.0,0.0
1566333114917978337,3e-05,-0.000158,0.0,0.0,0.0,0.0
1566333114922115053,2.7e-05,-0.000162,0.0,0.0,0.0,0.0
1566333114926274017,2.6e-05,-0.000163,0.0,0.0,0.0,0.0
1566333114929849349,3e-05,-0.000159,0.0,0.0,0.0,0.0
1566333114933945043,2.3e-05,-0.00016,0.0,0.0,0.0,0.0
1566333114938008225,2.6e-05,-0.000158,0.0,0.0,0.0,0.0
1566333114942128786,2.8e-05,-0.000157,0.0,0.0,0.0,0.0
1566333114945963748,2.3e-05,-0.00016,0.0,0.0,0.0,0.0
1566333114950045844,2.6e-05,-0.00016,0.0,0.0,0.0,0.0
1566333114953869828,2.5e-05,-0.00016,0.0,0.0,0.0,0.0
1566333114957996740,2.2e-05,-0.000162,0.0,0.0,0.0,0.0
1566333114962035473,2.4e-05,-0.000155,0.0,0.0,0.0,0.0
1566333114965862629,2.4e-05,-0.000159,0.0,0.0,0.0,0.0
1566333114969960186,2.5e-05,-0.000158,0.0,0.0,0.0,0.0
1566333114973928824,2.4e-05,-0.000163,0.0,0.0,0.0,0.0
1566333114978044529,2.5e-05,-0.000159,0.0,0.0,0.0,0.0
1566333114981667003,2.4e-05,-0.000156,0.0,0.0,0.0,0.0
1566333114985677831,2.8e-05,-0.000158,0.0,0.0,0.0,0.0
1566333114989994042,2.8e-05,-0.000159,0.0,0.0,0.0,0.0
1566333114993657109,2.8e-05,-0.000167,0.0,0.0,0.0,0.0
1566333114997834031,2.6e-05,-0.000162,0.0,0.0,0.0,0.0
1566333115002042531,2.4e-05,-0.000156,0.0,0.0,0.0,0.0
1566333115006132270,2.4e-05,-0.000159,0.0,0.0,0.0,0.0
