%time,field.x,field.y,field.z
1566249488798626080,-0.0,0.0,0.0
1566249488821050583,-0.0,0.0,0.0
1566249488837068379,-0.0,0.0,0.0
1566249488857079604,-0.0,0.0,0.0
1566249488877199744,-0.0,0.0,0.0
1566249488897590804,-0.0,0.0,0.0
1566249488916572989,-0.0,0.0,0.0
1566249488936630910,-0.0,0.0,0.0
1566249488956708245,-0.0,0.0,0.0
1566249488976897938,-0.0,0.0,0.0
1566249488997082010,-0.0,0.0,0.0
1566249489017153323,-0.0,0.0,0.0
1566249489036245066,-0.0,0.0,0.0
1566249489056279057,-0.0,0.0,0.0
1566249489076467794,-0.0,0.0,0.0
1566249489096485576,-0.0,0.0,0.0
1566249489116708591,-0.0,0.0,0.0
1566249489136880868,-0.0,0.0,0.0
1566249489156975510,-0.0,0.0,0.0
1566249489176009424,-0.0,0.0,0.0
1566249489196039875,-0.0,0.0,0.0
1566249489216398762,-0.0,0.0,0.0
1566249489237003910,-0.0,0.0,0.0
1566249489256070876,-0.0,0.0,0.0
1566249489276278523,-0.0,0.0,0.0
1566249489296603863,-0.0,0.0,0.0
1566249489315584240,-0.0,0.0,0.0
1566249489335664437,-0.0,0.0,0.0
1566249489356119106,-0.0,0.0,0.0
1566249489375611335,-0.0,0.0,0.0
1566249489395620009,-0.0,0.0,0.0
1566249489415696333,-0.0,0.0,0.0
1566249489435974958,-0.0,0.0,0.0
1566249489455954423,-0.0,0.0,0.0
1566249489476030375,-0.0,0.0,0.0
1566249489496146510,-0.0,0.0,0.0
1566249489515389405,-0.0,0.0,0.0
1566249489535488286,-0.0,0.0,0.0
1566249489555585831,-0.0,0.0,0.0
1566249489575725705,-0.0,0.0,0.0
1566249489597183802,-0.0,0.0,0.0
1566249489615615300,-0.0,0.0,0.0
1566249489635861763,-0.0,0.0,0.0
1566249489655081132,-0.0,0.0,0.0
1566249489675378639,-0.0,0.0,0.0
1566249489695436699,-0.0,0.0,0.0
1566249489716685445,-0.0,0.0,0.0
1566249489735298141,-0.0,0.0,0.0
1566249489757657377,-0.0,0.0,0.0
1566249489775281281,-0.0,0.0,0.0
