%time,field0,field1,field2,field3,field4,field5
1566330248625825709,3.3e-05,-0.000137,0.0,0.0,0.0,0.0
1566330248627741224,3.5e-05,-0.000136,0.0,0.0,0.0,0.0
1566330248630432394,3.6e-05,-0.000135,0.0,0.0,0.0,0.0
1566330248634249988,3.4e-05,-0.000136,0.0,0.0,0.0,0.0
1566330248638622825,3.6e-05,-0.000136,0.0,0.0,0.0,0.0
1566330248642339455,3.5e-05,-0.000137,0.0,0.0,0.0,0.0
1566330248646259238,3.6e-05,-0.000138,0.0,0.0,0.0,0.0
1566330248650352209,3.6e-05,-0.000136,0.0,0.0,0.0,0.0
1566330248654499077,3.5e-05,-0.000136,0.0,0.0,0.0,0.0
1566330248658314703,3.6e-05,-0.000137,0.0,0.0,0.0,0.0
1566330248662500650,3.3e-05,-0.00014,0.0,0.0,0.0,0.0
1566330248666318571,3.6e-05,-0.00014,0.0,0.0,0.0,0.0
1566330248670487167,3.6e-05,-0.000134,0.0,0.0,0.0,0.0
1566330248674459933,3.5e-05,-0.000133,0.0,0.0,0.0,0.0
1566330248678332824,3.4e-05,-0.000139,0.0,0.0,0.0,0.0
1566330248682937691,3.5e-05,-0.000137,0.0,0.0,0.0,0.0
1566330248686401282,3.6e-05,-0.000135,0.0,0.0,0.0,0.0
1566330248690449038,3.4e-05,-0.000137,0.0,0.0,0.0,0.0
1566330248694526698,3.3e-05,-0.000136,0.0,0.0,0.0,0.0
1566330248698609706,3.3e-05,-0.000133,0.0,0.0,0.0,0.0
1566330248702295464,3.4e-05,-0.000133,0.0,0.0,0.0,0.0
1566330248706562000,3.2e-05,-0.000134,0.0,0.0,0.0,0.0
1566330248710712057,3.5e-05,-0.000135,0.0,0.0,0.0,0.0
1566330248714326168,3.5e-05,-0.000133,0.0,0.0,0.0,0.0
1566330248718327135,3.4e-05,-0.000132,0.0,0.0,0.0,0.0
1566330248722797596,3.3e-05,-0.000133,0.0,0.0,0.0,0.0
1566330248726271912,3.4e-05,-0.000134,0.0,0.0,0.0,0.0
1566330248729971619,3.4e-05,-0.000133,0.0,0.0,0.0,0.0
1566330248734062698,3.8e-05,-0.000136,0.0,0.0,0.0,0.0
1566330248738146014,3.5e-05,-0.000135,0.0,0.0,0.0,0.0
1566330248743197852,3.6e-05,-0.000136,0.0,0.0,0.0,0.0
1566330248746171137,3.6e-05,-0.000136,0.0,0.0,0.0,0.0
1566330248750286511,3.4e-05,-0.000134,0.0,0.0,0.0,0.0
