%time,field0,field1,field2,field3,field4,field5
1566492149097012748,4e-06,9.9e-05,0.0,0.0,0.0,0.0
1566492149099514349,4e-06,9.9e-05,0.0,0.0,0.0,0.0
1566492149103498886,5e-06,0.000104,0.0,0.0,0.0,0.0
1566492149107585767,4e-06,0.000106,0.0,0.0,0.0,0.0
1566492149111664470,4e-06,0.000104,0.0,0.0,0.0,0.0
1566492149115635003,5e-06,0.000107,0.0,0.0,0.0,0.0
1566492149119512988,4e-06,0.000105,0.0,0.0,0.0,0.0
1566492149123697983,2e-06,0.000101,0.0,0.0,0.0,0.0
1566492149127647868,1e-06,0.000105,0.0,0.0,0.0,0.0
1566492149131648060,6e-06,0.000106,0.0,0.0,0.0,0.0
1566492149135770103,2e-06,0.000106,0.0,0.0,0.0,0.0
1566492149139903778,5e-06,0.000105,0.0,0.0,0.0,0.0
1566492149143806190,3e-06,0.000108,0.0,0.0,0.0,0.0
1566492149147626318,3e-06,0.000107,0.0,0.0,0.0,0.0
1566492149151642695,4e-06,0.000104,0.0,0.0,0.0,0.0
1566492149155363221,6e-06,0.000109,0.0,0.0,0.0,0.0
1566492149159752200,9e-06,0.000103,0.0,0.0,0.0,0.0
1566492149163646725,7e-06,0.000108,0.0,0.0,0.0,0.0
1566492149167513011,8e-06,0.000109,0.0,0.0,0.0,0.0
1566492149171530600,6e-06,0.000109,0.0,0.0,0.0,0.0
1566492149175664770,4e-06,0.000105,0.0,0.0,0.0,0.0
1566492149179594739,6e-06,0.000104,0.0,0.0,0.0,0.0
1566492149184495200,7e-06,0.000112,0.0,0.0,0.0,0.0
1566492149187575039,3e-06,0.00011,0.0,0.0,0.0,0.0
1566492149191331367,6e-06,0.000108,0.0,0.0,0.0,0.0
1566492149195488586,4e-06,0.000108,0.0,0.0,0.0,0.0
1566492149199416802,5e-06,0.000105,0.0,0.0,0.0,0.0
1566492149203420340,0.0,0.000103,0.0,0.0,0.0,0.0
1566492149207329985,3e-06,0.000107,0.0,0.0,0.0,0.0
1566492149211860184,5e-06,0.000104,0.0,0.0,0.0,0.0
1566492149215633361,4e-06,0.000103,0.0,0.0,0.0,0.0
1566492149219426032,5e-06,0.000101,0.0,0.0,0.0,0.0
1566492149223464557,3e-06,0.000106,0.0,0.0,0.0,0.0
1566492149231378778,0.0,0.000107,0.0,0.0,0.0,0.0
1566492149231919572,2e-06,0.000103,0.0,0.0,0.0,0.0
1566492149235834919,3e-06,0.000106,0.0,0.0,0.0,0.0
1566492149239635851,2e-06,0.00011,0.0,0.0,0.0,0.0
1566492149243560856,4e-06,0.000103,0.0,0.0,0.0,0.0
1566492149247666514,1e-06,0.000102,0.0,0.0,0.0,0.0
1566492149252018921,0.0,0.000101,0.0,0.0,0.0,0.0
1566492149255726649,1e-06,0.000101,0.0,0.0,0.0,0.0
1566492149259592710,3e-06,0.000108,0.0,0.0,0.0,0.0
1566492149263686170,3e-06,0.000104,0.0,0.0,0.0,0.0
1566492149268088585,4e-06,0.000105,0.0,0.0,0.0,0.0
1566492149271587941,1e-06,0.000106,0.0,0.0,0.0,0.0
1566492149275812715,4e-06,0.000108,0.0,0.0,0.0,0.0
1566492149279452309,6e-06,0.00011,0.0,0.0,0.0,0.0
1566492149283485479,5e-06,0.000107,0.0,0.0,0.0,0.0
1566492149287379007,2e-06,0.000104,0.0,0.0,0.0,0.0
1566492149291766377,2e-06,0.000106,0.0,0.0,0.0,0.0
1566492149295745402,0.0,0.000105,0.0,0.0,0.0,0.0
1566492149299949728,3e-06,0.000103,0.0,0.0,0.0,0.0
1566492149303639340,2e-06,0.000106,0.0,0.0,0.0,0.0
1566492149307789001,2e-06,0.000101,0.0,0.0,0.0,0.0
1566492149311772122,3e-06,0.000105,0.0,0.0,0.0,0.0
1566492149315654662,5e-06,0.000104,0.0,0.0,0.0,0.0
1566492149319322413,2e-06,0.000104,0.0,0.0,0.0,0.0
1566492149323441950,4e-06,0.000105,0.0,0.0,0.0,0.0
1566492149327795734,2e-06,0.000103,0.0,0.0,0.0,0.0
1566492149331716754,5e-06,0.000104,0.0,0.0,0.0,0.0
1566492149337190228,5e-06,0.000106,0.0,0.0,0.0,0.0
1566492149339392803,4e-06,0.00011,0.0,0.0,0.0,0.0
1566492149343307826,5e-06,0.000108,0.0,0.0,0.0,0.0
1566492149347585224,1e-06,0.000107,0.0,0.0,0.0,0.0
1566492149351533984,2e-06,0.000107,0.0,0.0,0.0,0.0
1566492149355340277,-1e-06,0.000108,0.0,0.0,0.0,0.0
1566492149359505931,5e-06,0.000107,0.0,0.0,0.0,0.0
1566492149363446539,4e-06,0.000104,0.0,0.0,0.0,0.0
1566492149367428098,-2e-06,0.000107,0.0,0.0,0.0,0.0
1566492149371412065,2e-06,0.000104,0.0,0.0,0.0,0.0
1566492149375521702,2e-06,0.000103,0.0,0.0,0.0,0.0
1566492149379537977,3e-06,0.000107,0.0,0.0,0.0,0.0
1566492149383515480,3e-06,0.0001,0.0,0.0,0.0,0.0
1566492149387588331,2e-06,0.000105,0.0,0.0,0.0,0.0
1566492149391447410,4e-06,0.000102,0.0,0.0,0.0,0.0
1566492149395662774,2e-06,0.000104,0.0,0.0,0.0,0.0
1566492149404139161,0.0,0.000101,0.0,0.0,0.0,0.0
1566492149406350397,1e-06,0.000106,0.0,0.0,0.0,0.0
1566492149408507120,1e-06,0.000106,0.0,0.0,0.0,0.0
1566492149411434298,0.0,0.000105,0.0,0.0,0.0,0.0
1566492149415302467,3e-06,0.000105,0.0,0.0,0.0,0.0
1566492149419451370,2e-06,0.000108,0.0,0.0,0.0,0.0
1566492149423918249,4e-06,0.000106,0.0,0.0,0.0,0.0
1566492149427594327,5e-06,0.000107,0.0,0.0,0.0,0.0
1566492149431447673,1e-06,0.000107,0.0,0.0,0.0,0.0
1566492149435366025,1e-06,0.000108,0.0,0.0,0.0,0.0
1566492149440653544,3e-06,0.000105,0.0,0.0,0.0,0.0
1566492149443725220,6e-06,0.0001,0.0,0.0,0.0,0.0
1566492149447423381,4e-06,0.000107,0.0,0.0,0.0,0.0
1566492149451643351,7e-06,0.000107,0.0,0.0,0.0,0.0
1566492149455527662,8e-06,0.000106,0.0,0.0,0.0,0.0
1566492149460763164,2e-06,0.000106,0.0,0.0,0.0,0.0
1566492149463371955,3e-06,0.000105,0.0,0.0,0.0,0.0
1566492149467656964,4e-06,0.000106,0.0,0.0,0.0,0.0
