%time,field0,field1,field2,field3,field4,field5
1566567650400580649,-0.000359,-0.001308,0.0,0.0,0.0,0.0
1566567650404574685,-0.000358,-0.001307,0.0,0.0,0.0,0.0
1566567650408911380,-0.000355,-0.001311,0.0,0.0,0.0,0.0
1566567650412906689,-0.000359,-0.001307,0.0,0.0,0.0,0.0
1566567650416649909,-0.000364,-0.001309,0.0,0.0,0.0,0.0
1566567650420590328,-0.000358,-0.001306,0.0,0.0,0.0,0.0
1566567650425306540,-0.000356,-0.001307,0.0,0.0,0.0,0.0
1566567650428759451,-0.000358,-0.00131,0.0,0.0,0.0,0.0
1566567650432688695,-0.00036,-0.001311,0.0,0.0,0.0,0.0
1566567650436645175,-0.000359,-0.001309,0.0,0.0,0.0,0.0
1566567650440887095,-0.000359,-0.001309,0.0,0.0,0.0,0.0
1566567650444963634,-0.000358,-0.001307,0.0,0.0,0.0,0.0
1566567650448299322,-0.000358,-0.001309,0.0,0.0,0.0,0.0
1566567650452316032,-0.000357,-0.001311,0.0,0.0,0.0,0.0
1566567650456485867,-0.000357,-0.001312,0.0,0.0,0.0,0.0
1566567650460489084,-0.000358,-0.001313,0.0,0.0,0.0,0.0
1566567650464773588,-0.000357,-0.001311,0.0,0.0,0.0,0.0
1566567650468667382,-0.000357,-0.001311,0.0,0.0,0.0,0.0
1566567650472589873,-0.00036,-0.00131,0.0,0.0,0.0,0.0
1566567650476628131,-0.000357,-0.001311,0.0,0.0,0.0,0.0
1566567650480533112,-0.000357,-0.001311,0.0,0.0,0.0,0.0
1566567650484356533,-0.000358,-0.00131,0.0,0.0,0.0,0.0
1566567650488485117,-0.000361,-0.001313,0.0,0.0,0.0,0.0
1566567650492626005,-0.000358,-0.001311,0.0,0.0,0.0,0.0
1566567650499859161,-0.000359,-0.001306,0.0,0.0,0.0,0.0
1566567650500604157,-0.000356,-0.001307,0.0,0.0,0.0,0.0
1566567650504930782,-0.000355,-0.001307,0.0,0.0,0.0,0.0
1566567650508673232,-0.000357,-0.001309,0.0,0.0,0.0,0.0
1566567650512707830,-0.000359,-0.001309,0.0,0.0,0.0,0.0
1566567650516732811,-0.000363,-0.001311,0.0,0.0,0.0,0.0
1566567650520645519,-0.00036,-0.001308,0.0,0.0,0.0,0.0
1566567650524519886,-0.000359,-0.001309,0.0,0.0,0.0,0.0
1566567650528460805,-0.000359,-0.001308,0.0,0.0,0.0,0.0
1566567650532586588,-0.000355,-0.001307,0.0,0.0,0.0,0.0
1566567650536439886,-0.000362,-0.001305,0.0,0.0,0.0,0.0
1566567650540589853,-0.000358,-0.001309,0.0,0.0,0.0,0.0
1566567650544800653,-0.00036,-0.00131,0.0,0.0,0.0,0.0
1566567650548660166,-0.000359,-0.001309,0.0,0.0,0.0,0.0
1566567650552554527,-0.00036,-0.001307,0.0,0.0,0.0,0.0
1566567650556626426,-0.000358,-0.001307,0.0,0.0,0.0,0.0
1566567650560685611,-0.00036,-0.001307,0.0,0.0,0.0,0.0
1566567650564882363,-0.000362,-0.00131,0.0,0.0,0.0,0.0
1566567650568733047,-0.000356,-0.001308,0.0,0.0,0.0,0.0
1566567650572507982,-0.000359,-0.001308,0.0,0.0,0.0,0.0
1566567650576432562,-0.00036,-0.001308,0.0,0.0,0.0,0.0
1566567650580566710,-0.000359,-0.001308,0.0,0.0,0.0,0.0
1566567650584629735,-0.000357,-0.001311,0.0,0.0,0.0,0.0
1566567650588463003,-0.000357,-0.00131,0.0,0.0,0.0,0.0
1566567650592475171,-0.000358,-0.001307,0.0,0.0,0.0,0.0
1566567650597230700,-0.000355,-0.001308,0.0,0.0,0.0,0.0
1566567650601396421,-0.00036,-0.001306,0.0,0.0,0.0,0.0
1566567650604520992,-0.00036,-0.001306,0.0,0.0,0.0,0.0
1566567650608726431,-0.00036,-0.001308,0.0,0.0,0.0,0.0
1566567650612791876,-0.00036,-0.001311,0.0,0.0,0.0,0.0
1566567650616817076,-0.000361,-0.001309,0.0,0.0,0.0,0.0
1566567650620750567,-0.000358,-0.001308,0.0,0.0,0.0,0.0
1566567650625185495,-0.000358,-0.001307,0.0,0.0,0.0,0.0
1566567650629436168,-0.000361,-0.001311,0.0,0.0,0.0,0.0
1566567650632486193,-0.000357,-0.001311,0.0,0.0,0.0,0.0
1566567650636393016,-0.000359,-0.001309,0.0,0.0,0.0,0.0
1566567650641225657,-0.000359,-0.001309,0.0,0.0,0.0,0.0
1566567650644459454,-0.000358,-0.00131,0.0,0.0,0.0,0.0
1566567650648631208,-0.000358,-0.00131,0.0,0.0,0.0,0.0
1566567650652715239,-0.000357,-0.001309,0.0,0.0,0.0,0.0
1566567650656820023,-0.000357,-0.001309,0.0,0.0,0.0,0.0
1566567650660799943,-0.000356,-0.001308,0.0,0.0,0.0,0.0
1566567650664656598,-0.000357,-0.00131,0.0,0.0,0.0,0.0
1566567650668402896,-0.000361,-0.00131,0.0,0.0,0.0,0.0
1566567650672588404,-0.00036,-0.00131,0.0,0.0,0.0,0.0
1566567650676585789,-0.000362,-0.001311,0.0,0.0,0.0,0.0
1566567650680521679,-0.000358,-0.00131,0.0,0.0,0.0,0.0
1566567650684604747,-0.00036,-0.001311,0.0,0.0,0.0,0.0
1566567650688972115,-0.000359,-0.001311,0.0,0.0,0.0,0.0
1566567650692642003,-0.000356,-0.00131,0.0,0.0,0.0,0.0
1566567650696503833,-0.000357,-0.001309,0.0,0.0,0.0,0.0
1566567650700498704,-0.000361,-0.001309,0.0,0.0,0.0,0.0
1566567650704669291,-0.000364,-0.001313,0.0,0.0,0.0,0.0
1566567650708780715,-0.000355,-0.001312,0.0,0.0,0.0,0.0
1566567650712633861,-0.000357,-0.001312,0.0,0.0,0.0,0.0
1566567650716765314,-0.000355,-0.001309,0.0,0.0,0.0,0.0
1566567650720747281,-0.000358,-0.001309,0.0,0.0,0.0,0.0
1566567650724674488,-0.000357,-0.001314,0.0,0.0,0.0,0.0
1566567650728405692,-0.000359,-0.001311,0.0,0.0,0.0,0.0
1566567650732743294,-0.00036,-0.001308,0.0,0.0,0.0,0.0
1566567650736705357,-0.000359,-0.001307,0.0,0.0,0.0,0.0
1566567650740842525,-0.00036,-0.001311,0.0,0.0,0.0,0.0
1566567650744552265,-0.00036,-0.001311,0.0,0.0,0.0,0.0
1566567650748736357,-0.000359,-0.001311,0.0,0.0,0.0,0.0
1566567650752521577,-0.000358,-0.001312,0.0,0.0,0.0,0.0
1566567650756758844,-0.000359,-0.001309,0.0,0.0,0.0,0.0
1566567650760763815,-0.000357,-0.001309,0.0,0.0,0.0,0.0
1566567650764444477,-0.000358,-0.00131,0.0,0.0,0.0,0.0
1566567650768526428,-0.000357,-0.00131,0.0,0.0,0.0,0.0
1566567650772659810,-0.00036,-0.001308,0.0,0.0,0.0,0.0
1566567650776580034,-0.000359,-0.00131,0.0,0.0,0.0,0.0
1566567650783560246,-0.00036,-0.001308,0.0,0.0,0.0,0.0
1566567650785698406,-0.000357,-0.001308,0.0,0.0,0.0,0.0
1566567650789086594,-0.00036,-0.001309,0.0,0.0,0.0,0.0
1566567650792767880,-0.000357,-0.001311,0.0,0.0,0.0,0.0
1566567650796612940,-0.000357,-0.001308,0.0,0.0,0.0,0.0
1566567650800734710,-0.000358,-0.00131,0.0,0.0,0.0,0.0
1566567650804704308,-0.000359,-0.001309,0.0,0.0,0.0,0.0
1566567650808571945,-0.000359,-0.001311,0.0,0.0,0.0,0.0
1566567650812396454,-0.000361,-0.001309,0.0,0.0,0.0,0.0
1566567650816649945,-0.000359,-0.001308,0.0,0.0,0.0,0.0
1566567650820455161,-0.000362,-0.001306,0.0,0.0,0.0,0.0
1566567650824666471,-0.00036,-0.00131,0.0,0.0,0.0,0.0
1566567650828579918,-0.000357,-0.001311,0.0,0.0,0.0,0.0
1566567650832493519,-0.00036,-0.001308,0.0,0.0,0.0,0.0
1566567650836563132,-0.000356,-0.001307,0.0,0.0,0.0,0.0
1566567650840596139,-0.000357,-0.001307,0.0,0.0,0.0,0.0
