%time,field0,field1,field2,field3,field4,field5
1566498901149411233,1.7e-05,4.4e-05,0.0,0.0,0.0,0.0
1566498901151324677,2e-05,4.4e-05,0.0,0.0,0.0,0.0
1566498901155277303,1.6e-05,4.4e-05,0.0,0.0,0.0,0.0
1566498901159473228,1.7e-05,4.5e-05,0.0,0.0,0.0,0.0
1566498901163320687,1.7e-05,4.4e-05,0.0,0.0,0.0,0.0
1566498901167213598,1.9e-05,4.5e-05,0.0,0.0,0.0,0.0
1566498901171138481,1.8e-05,4.6e-05,0.0,0.0,0.0,0.0
1566498901175035638,2.1e-05,4.5e-05,0.0,0.0,0.0,0.0
1566498901179547079,2.1e-05,4.8e-05,0.0,0.0,0.0,0.0
1566498901183083703,2e-05,4.5e-05,0.0,0.0,0.0,0.0
1566498901186926051,1.9e-05,4.4e-05,0.0,0.0,0.0,0.0
1566498901191220953,2.1e-05,4.1e-05,0.0,0.0,0.0,0.0
1566498901195081891,2e-05,4.5e-05,0.0,0.0,0.0,0.0
1566498901198806196,2.2e-05,4.2e-05,0.0,0.0,0.0,0.0
1566498901202854573,1.8e-05,4.4e-05,0.0,0.0,0.0,0.0
1566498901206945153,2e-05,4.3e-05,0.0,0.0,0.0,0.0
1566498901211363209,2e-05,4.3e-05,0.0,0.0,0.0,0.0
1566498901214970135,1.9e-05,4.4e-05,0.0,0.0,0.0,0.0
1566498901219058569,2.1e-05,4.5e-05,0.0,0.0,0.0,0.0
1566498901223149127,2.3e-05,4.5e-05,0.0,0.0,0.0,0.0
1566498901227082069,2.2e-05,4.1e-05,0.0,0.0,0.0,0.0
1566498901231207777,2.2e-05,4.1e-05,0.0,0.0,0.0,0.0
1566498901234992272,2.1e-05,4.2e-05,0.0,0.0,0.0,0.0
1566498901240523456,2.2e-05,4.3e-05,0.0,0.0,0.0,0.0
1566498901244028872,2e-05,4.4e-05,0.0,0.0,0.0,0.0
1566498901246963745,2.3e-05,4.2e-05,0.0,0.0,0.0,0.0
1566498901251183567,2e-05,4.6e-05,0.0,0.0,0.0,0.0
1566498901255137307,2e-05,4.4e-05,0.0,0.0,0.0,0.0
1566498901259054446,1.9e-05,4.4e-05,0.0,0.0,0.0,0.0
1566498901263050363,1.9e-05,4.4e-05,0.0,0.0,0.0,0.0
1566498901266828118,2.2e-05,4.2e-05,0.0,0.0,0.0,0.0
1566498901271441474,1.8e-05,4.3e-05,0.0,0.0,0.0,0.0
1566498901274911061,1.9e-05,4.3e-05,0.0,0.0,0.0,0.0
1566498901278984522,2e-05,4.4e-05,0.0,0.0,0.0,0.0
1566498901283081620,2.1e-05,4.4e-05,0.0,0.0,0.0,0.0
1566498901286948694,2.2e-05,4.2e-05,0.0,0.0,0.0,0.0
1566498901291075994,2.1e-05,4.5e-05,0.0,0.0,0.0,0.0
1566498901294955930,2.1e-05,4.7e-05,0.0,0.0,0.0,0.0
1566498901299244653,2.2e-05,4.3e-05,0.0,0.0,0.0,0.0
1566498901303182408,2e-05,4.6e-05,0.0,0.0,0.0,0.0
1566498901306910410,2.2e-05,4.6e-05,0.0,0.0,0.0,0.0
1566498901311140960,1.9e-05,4.5e-05,0.0,0.0,0.0,0.0
1566498901315833064,1.5e-05,4.4e-05,0.0,0.0,0.0,0.0
1566498901319139339,2e-05,4.4e-05,0.0,0.0,0.0,0.0
1566498901323030796,1.8e-05,4.6e-05,0.0,0.0,0.0,0.0
1566498901326958922,1.9e-05,4.3e-05,0.0,0.0,0.0,0.0
1566498901330692468,2e-05,4.6e-05,0.0,0.0,0.0,0.0
1566498901334912380,1.9e-05,4.5e-05,0.0,0.0,0.0,0.0
1566498901339236944,2.1e-05,4.5e-05,0.0,0.0,0.0,0.0
1566498901342827108,2.3e-05,4.6e-05,0.0,0.0,0.0,0.0
1566498901347179207,2e-05,4.3e-05,0.0,0.0,0.0,0.0
1566498901350969076,2.4e-05,4.5e-05,0.0,0.0,0.0,0.0
1566498901355195282,2e-05,4.4e-05,0.0,0.0,0.0,0.0
1566498901359191956,2e-05,4.4e-05,0.0,0.0,0.0,0.0
1566498901363211413,2e-05,4.6e-05,0.0,0.0,0.0,0.0
1566498901367137185,2.2e-05,4.1e-05,0.0,0.0,0.0,0.0
1566498901370921365,2.1e-05,4.3e-05,0.0,0.0,0.0,0.0
1566498901374973410,2.2e-05,4.4e-05,0.0,0.0,0.0,0.0
1566498901379128444,2.3e-05,4.6e-05,0.0,0.0,0.0,0.0
1566498901383048539,2.3e-05,4.2e-05,0.0,0.0,0.0,0.0
1566498901387050180,2e-05,4e-05,0.0,0.0,0.0,0.0
1566498901391253175,1.7e-05,4.5e-05,0.0,0.0,0.0,0.0
