%time,field0,field1,field2,field3,field4,field5
1566500405554909704,8.6e-05,5.3e-05,0.0,0.0,0.0,0.0
1566500405561778906,8.3e-05,5.6e-05,0.0,0.0,0.0,0.0
1566500405564108371,8e-05,5.8e-05,0.0,0.0,0.0,0.0
1566500405566539960,8.5e-05,6.2e-05,0.0,0.0,0.0,0.0
1566500405569666908,8.7e-05,5.8e-05,0.0,0.0,0.0,0.0
1566500405573829605,8e-05,5.3e-05,0.0,0.0,0.0,0.0
1566500405577473103,8.3e-05,5.7e-05,0.0,0.0,0.0,0.0
1566500405581477767,8.5e-05,5.4e-05,0.0,0.0,0.0,0.0
1566500405585764367,8.5e-05,5.5e-05,0.0,0.0,0.0,0.0
1566500405589462036,8.6e-05,5.2e-05,0.0,0.0,0.0,0.0
1566500405593525935,8.6e-05,5.5e-05,0.0,0.0,0.0,0.0
1566500405597643476,8.6e-05,5.4e-05,0.0,0.0,0.0,0.0
1566500405601683304,8.5e-05,5.5e-05,0.0,0.0,0.0,0.0
1566500405605449564,8.5e-05,5.6e-05,0.0,0.0,0.0,0.0
1566500405609721718,8.5e-05,5.6e-05,0.0,0.0,0.0,0.0
1566500405613496239,8.4e-05,5.8e-05,0.0,0.0,0.0,0.0
1566500405617702623,8.7e-05,5.8e-05,0.0,0.0,0.0,0.0
1566500405621559997,8.5e-05,5.4e-05,0.0,0.0,0.0,0.0
1566500405625540542,8.6e-05,5.5e-05,0.0,0.0,0.0,0.0
1566500405629421601,8.7e-05,5.4e-05,0.0,0.0,0.0,0.0
1566500405633586971,8.3e-05,5.4e-05,0.0,0.0,0.0,0.0
1566500405637663543,8.3e-05,6.1e-05,0.0,0.0,0.0,0.0
1566500405641600382,8e-05,5.5e-05,0.0,0.0,0.0,0.0
1566500405645571388,8.5e-05,5.7e-05,0.0,0.0,0.0,0.0
1566500405649490547,8.4e-05,5.3e-05,0.0,0.0,0.0,0.0
1566500405653335995,8.6e-05,5.8e-05,0.0,0.0,0.0,0.0
1566500405657480494,8.7e-05,5.4e-05,0.0,0.0,0.0,0.0
1566500405661436440,8.6e-05,5.2e-05,0.0,0.0,0.0,0.0
1566500405665647212,8.6e-05,5.4e-05,0.0,0.0,0.0,0.0
1566500405669786363,8.3e-05,5.7e-05,0.0,0.0,0.0,0.0
1566500405673607257,8.5e-05,5.4e-05,0.0,0.0,0.0,0.0
1566500405678964287,8.8e-05,6.1e-05,0.0,0.0,0.0,0.0
1566500405681747993,8.4e-05,5.6e-05,0.0,0.0,0.0,0.0
1566500405685295917,8.5e-05,5.8e-05,0.0,0.0,0.0,0.0
1566500405689359744,8.5e-05,5.6e-05,0.0,0.0,0.0,0.0
1566500405693898962,8.6e-05,5.5e-05,0.0,0.0,0.0,0.0
1566500405697830403,8.4e-05,5.7e-05,0.0,0.0,0.0,0.0
1566500405703308309,8.5e-05,5.7e-05,0.0,0.0,0.0,0.0
1566500405706628805,8.6e-05,5.9e-05,0.0,0.0,0.0,0.0
1566500405709412457,8.4e-05,5.4e-05,0.0,0.0,0.0,0.0
